Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,"294,571",Paperback,269.0,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318158031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Alex-Michaelides/e/B07CZQY3KT/ref=zg_bs_g_1318158031_d_sccl_1_bl/000-0000000-0000000
The Hidden Hindu,Akshat Gupta,4.4 out of 5 stars,"3,448",Paperback,159.0,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_1318158031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318158031_d_sccl_2_bl/000-0000000-0000000
"Energize Your Mind : Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.6 out of 5 stars,"3,373",Paperback,210.0,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_1318158031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Gaur-Gopal-Das/e/B07JNGPMHX/ref=zg_bs_g_1318158031_d_sccl_3_bl/000-0000000-0000000
The Hidden Hindu Book 2,Akshat Gupta,4.6 out of 5 stars,"1,859",Paperback,211.0,https://www.amazon.in/Hidden-Hindu-2-Akshat-Gupta/dp/0143456547/ref=zg_bs_g_1318158031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318158031_d_sccl_4_bl/000-0000000-0000000
The Hidden Hindu Book 3,Akshat Gupta,4.6 out of 5 stars,"1,525",Paperback,216.0,https://www.amazon.in/Hidden-Hindu-Book-3/dp/0143456555/ref=zg_bs_g_1318158031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318158031_d_sccl_5_bl/000-0000000-0000000
THE LION INSIDE,Rachel Bright,4.7 out of 5 stars,"7,736",Board book,275.0,https://www.amazon.in/LION-INSIDE-Rachel-Bright/dp/1408349043/ref=zg_bs_g_1318158031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Rachel-Bright/e/B00414QJM4/ref=zg_bs_g_1318158031_d_sccl_6_bl/000-0000000-0000000
The Stationery Shop Of Tehran,Marjan Kamali,4.4 out of 5 stars,"7,868",Paperback,338.0,https://www.amazon.in/Stationery-Shop-Tehran-Marjan-Kamali/dp/147118501X/ref=zg_bs_g_1318158031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Marjan-Kamali/e/B00B5W8DSS/ref=zg_bs_g_1318158031_d_sccl_7_bl/000-0000000-0000000
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"108,431",Kindle Edition,NA,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1318158031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1318158031_d_sccl_8_bl/000-0000000-0000000
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7 out of 5 stars,"86,983",Kindle Edition,279.3,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_g_1318158031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1318158031_d_sccl_9_bl/000-0000000-0000000
"The Immortals of Meluha (Shiva Trilogy Book 1) (Shiva, 1)",Amish Tripathi,4.6 out of 5 stars,"19,582",Paperback,287.0,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_g_1318158031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1318158031_d_sccl_10_bl/000-0000000-0000000
