Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Acts of God,Kanan Gill,4.5 out of 5 stars,80,Paperback,259.0,https://www.amazon.in/Acts-God-Kanan-Gill/dp/9356996822/ref=zg_bs_g_1318052031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Kanan-Gill/e/B0CRSVHRPX/ref=zg_bs_g_1318052031_d_sccl_1_bl/000-0000000-0000000
Colouring Book of Shapes: Creative Crayons Series - Crayon Copy Colour Books,Wonder House Books,4.3 out of 5 stars,"1,918",Paperback,56.0,https://www.amazon.in/Creative-Crayons-Shapes-Crayon-Colour/dp/9387779750/ref=zg_bs_g_1318052031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318052031_d_sccl_2_bl/000-0000000-0000000
Motivation- Colouring Book for Adults: Adult Colouring Book for Peace & Relaxation [Paperback] Dreamland Publications,Dreamland Publications,4.5 out of 5 stars,"2,799",Paperback,150.0,https://www.amazon.in/Motivation-Adult-Colouring-Peace-Relaxation/dp/9387177033/ref=zg_bs_g_1318052031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Dreamland-Publications/e/B0811H1SN1/ref=zg_bs_g_1318052031_d_sccl_3_bl/000-0000000-0000000
HOOKED,Nir Eyal,4.6 out of 5 stars,"7,491",Hardcover,464.3,https://www.amazon.in/HOOKED-Nir-Eyal/dp/0241184835/ref=zg_bs_g_1318052031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Nir-Eyal/e/B00HJ8021I/ref=zg_bs_g_1318052031_d_sccl_4_bl/000-0000000-0000000
Black Holes (L) : The Reith Lectures,Stephen Hawking,4.5 out of 5 stars,"7,707",Paperback,99.0,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_1318052031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Stephen-Hawking/e/B000AP5X0M/ref=zg_bs_g_1318052031_d_sccl_5_bl/000-0000000-0000000
"Nature, Garden and Forest: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book)",Wonder House Books,4.5 out of 5 stars,"2,419",Paperback,169.0,https://www.amazon.in/Nature-Garden-Forest-Colouring-Adults/dp/938653858X/ref=zg_bs_g_1318052031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318052031_d_sccl_6_bl/000-0000000-0000000
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,4.4 out of 5 stars,"20,011",Paperback,179.0,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318052031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Arthur-Conan-Doyle/e/B000AQ43GQ/ref=zg_bs_g_1318052031_d_sccl_7_bl/000-0000000-0000000
Physics Galaxy 2024: JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,4.5 out of 5 stars,83,Paperback,214.0,https://www.amazon.in/Physics-Galaxy-2024-Advanced-Analysis/dp/9356813477/ref=zg_bs_g_1318052031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Ashish-Arora/e/B07X7KGVSH/ref=zg_bs_g_1318052031_d_sccl_8_bl/000-0000000-0000000
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,4.4 out of 5 stars,"86,710",Kindle Edition with Audio/Video,253.6,https://www.amazon.in/Harry-Potter-Cursed-Child-Playscript-ebook/dp/B073P9348D/ref=zg_bs_g_1318052031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1318052031_d_sccl_9_bl/000-0000000-0000000
Majestic Animals: Colouring books for Adults with tear out sheets,Wonder House Books,4.6 out of 5 stars,"1,600",Paperback,159.0,https://www.amazon.in/Majestic-Animals-Colouring-Adults-Sheets/dp/9386538598/ref=zg_bs_g_1318052031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318052031_d_sccl_10_bl/000-0000000-0000000
