Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,4.5 out of 5 stars,"84,597",Paperback,206.0,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318064031_d_sccl_1/000-0000000-0000000?psc=1,NA
Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Murty Sudha,4.6 out of 5 stars,"6,756",Paperback,163.0,https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=zg_bs_g_1318064031_d_sccl_2/000-0000000-0000000?psc=1,NA
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,4.6 out of 5 stars,"25,211",Paperback,206.0,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_1318064031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Mitch-Albom/e/B000AQ79EY/ref=zg_bs_g_1318064031_d_sccl_3_bl/000-0000000-0000000
THINK AND GROW RICH (PB),Napoleon Hill,4.4 out of 5 stars,"74,456",Paperback,111.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_1318064031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Napoleon-Hill/e/B000APAMYE/ref=zg_bs_g_1318064031_d_sccl_4_bl/000-0000000-0000000
Autobiography of a Yogi (Complete Original Edition),Paramahansa Yogananda,4.6 out of 5 stars,"10,001",Paperback,109.0,https://www.amazon.in/Autobiography-Yogi-Complete-Free-CD/dp/818953551X/ref=zg_bs_g_1318064031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Paramahansa-Yogananda/e/B00KC1KO80/ref=zg_bs_g_1318064031_d_sccl_5_bl/000-0000000-0000000
The Diary of A Young Girl,Anne Frank,4.5 out of 5 stars,"46,381",Paperback,137.0,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194/ref=zg_bs_g_1318064031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Anne-Frank/e/B000AQ51EY/ref=zg_bs_g_1318064031_d_sccl_6_bl/000-0000000-0000000
Autobiography of A Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"11,246",Paperback,159.0,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_g_1318064031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Paramahansa-Yogananda/e/B00KC1KO80/ref=zg_bs_g_1318064031_d_sccl_7_bl/000-0000000-0000000
Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India ,K.J.S. Dhillon,4.7 out of 5 stars,"1,531",Hardcover,414.0,https://www.amazon.in/Kitne-Ghazi-Aye-Gaye-Sacrifice/dp/0670097055/ref=zg_bs_g_1318064031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/K-J-S-Dhillon/e/B0BSR6F1TX/ref=zg_bs_g_1318064031_d_sccl_8_bl/000-0000000-0000000
Make You Bed,William H. McRaven,4.5 out of 5 stars,"20,744",Hardcover,198.0,https://www.amazon.in/Make-Your-Bed-William-McRaven/dp/0718188861/ref=zg_bs_g_1318064031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/William-H-McRaven/e/B000APSSE0/ref=zg_bs_g_1318064031_d_sccl_9_bl/000-0000000-0000000
Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,4.7 out of 5 stars,"1,527",Paperback,99.0,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B09C745BCM/ref=zg_bs_g_1318064031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Paramahansa-Yogananda/e/B00KC1KO80/ref=zg_bs_g_1318064031_d_sccl_10_bl/000-0000000-0000000
