Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Own Your Body: A Doctor's Life-saving Tips,Dr. Shiv K Sarin,4.5 out of 5 stars,24,Paperback,359.0,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_1318068031_d_sccl_1/000-0000000-0000000?psc=1,NA
The 7 Habits of Highly Effective People: Infographics Edition: Powerful Lessons in Personal Change,Stephen R. Covey,4.5 out of 5 stars,"18,246",Kindle Edition,136.7,https://www.amazon.in/Habits-Highly-Effective-People-Powerful-ebook/dp/B01069X4H0/ref=zg_bs_g_1318068031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Stephen-R-Covey/e/B000AQ2VAQ/ref=zg_bs_g_1318068031_d_sccl_2_bl/000-0000000-0000000
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"60,216",Paperback,272.0,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_1318068031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Morgan-Housel/e/B084ZNV1LR/ref=zg_bs_g_1318068031_d_sccl_3_bl/000-0000000-0000000
Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,4.5 out of 5 stars,"28,414",Mass Market Paperback,380.0,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_g_1318068031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-T-Kiyosaki/e/B001H6GV90/ref=zg_bs_g_1318068031_d_sccl_4_bl/000-0000000-0000000
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,4.6 out of 5 stars,"60,216",Audible Audiobook,668.0,https://www.amazon.in/Psychology-Money-Timeless-Lessons-Happiness/dp/B08D9VV926/ref=zg_bs_g_1318068031_d_sccl_5/000-0000000-0000000?psc=1,NA
Make Epic Money,Ankur Warikoo,4.2 out of 5 stars,79,Hardcover,259.0,https://www.amazon.in/Make-Epic-Money-Ankur-Warikoo/dp/0670099813/ref=zg_bs_g_1318068031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Ankur-Warikoo/e/B09PRNNCFC/ref=zg_bs_g_1318068031_d_sccl_6_bl/000-0000000-0000000
"Thinking, Fast & Slow (L)",Daniel Kahneman,4.5 out of 5 stars,"29,434",Paperback,457.0,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_g_1318068031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Daniel-Kahneman/e/B001ILFNQG/ref=zg_bs_g_1318068031_d_sccl_7_bl/000-0000000-0000000
ACTION : 100 Powerful Principles of Personal Finance,Vivek Mashrani,5.0 out of 5 stars,6,Hardcover,259.0,https://www.amazon.in/ACTION-Powerful-Principles-Personal-Finance/dp/0143463438/ref=zg_bs_g_1318068031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Vivek-Mashrani/e/B0B392791X/ref=zg_bs_g_1318068031_d_sccl_8_bl/000-0000000-0000000
How to Make Money With Breakout Trading: A Simple Stock Market Book for Beginners - The Secret of becoming Intelligent Invest,Indrazith  Shantharaj,4.3 out of 5 stars,"2,932",Kindle Edition,69.0,https://www.amazon.in/How-Make-Money-Breakout-Trading-ebook/dp/B08F1T9H9T/ref=zg_bs_g_1318068031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Indrazith-Shantharaj/e/B07DCN9538/ref=zg_bs_g_1318068031_d_sccl_9_bl/000-0000000-0000000
A Beginner's Guide to the Stock Market,Matthew R. Kratter,4.2 out of 5 stars,"17,929",Kindle Edition,140.0,https://www.amazon.in/Beginners-Guide-Stock-Market-Everything-ebook/dp/B07S31TBF5/ref=zg_bs_g_1318068031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Matthew-R-Kratter/e/B00YCNAKT2/ref=zg_bs_g_1318068031_d_sccl_10_bl/000-0000000-0000000
