Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"75,966",Board book,409.0,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_64619755031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_1_bl/000-0000000-0000000
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,"27,130",Paperback,101.0,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_64619755031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_2_bl/000-0000000-0000000
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,"5,161",Hardcover,199.0,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_64619755031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_3_bl/000-0000000-0000000
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.4 out of 5 stars,"5,166",Paperback,95.0,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_g_64619755031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Maple-Press/e/B01N6PRWN6/ref=zg_bs_g_64619755031_d_sccl_4_bl/000-0000000-0000000
"201 Brain Booster Activity Book - Fun Activities and Exercises For Children: Tracing & Pattern, Colors & Shapes, Maze",Wonder House Books,4.4 out of 5 stars,678,Paperback,109.0,https://www.amazon.in/201-Brain-Booster-Activity-Book/dp/935440460X/ref=zg_bs_g_64619755031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_64619755031_d_sccl_5_bl/000-0000000-0000000
Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Ye,Maple Press,4.5 out of 5 stars,"2,339",Product Bundle,238.0,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_64619755031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Maple-Press/e/B01N6PRWN6/ref=zg_bs_g_64619755031_d_sccl_6_bl/000-0000000-0000000
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Ki",Maple Press,4.4 out of 5 stars,"8,401",Paperback,190.0,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_64619755031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Maple-Press/e/B01N6PRWN6/ref=zg_bs_g_64619755031_d_sccl_7_bl/000-0000000-0000000
Colouring Books Boxset: Pack of 12 Copy Colour Books For Children,Wonder House Books,4.5 out of 5 stars,"4,397",Paperback,339.0,https://www.amazon.in/Colouring-Books-Kids-Colour-Children/dp/9388369785/ref=zg_bs_g_64619755031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_8_bl/000-0000000-0000000
Shlokas and Mantras - Activity Book For Kids - Illustrated Book With Engaging Activities and Sticker Sheets,Wonder House Books,4.7 out of 5 stars,694,Hardcover,149.0,https://www.amazon.in/Shlokas-Mantras-Activity-Illustrated-Activities/dp/935440524X/ref=zg_bs_g_64619755031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_64619755031_d_sccl_9_bl/000-0000000-0000000
Tinkle Double Digest No 153,Multiple Writers,4.4 out of 5 stars,534,Kindle Edition,126.0,https://www.amazon.in/Tinkle-Double-Digest-No-153-ebook/dp/B08L3NPZB7/ref=zg_bs_g_64619755031_d_sccl_10/000-0000000-0000000?psc=1,NA
"My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals",Wonder House Books,4.5 out of 5 stars,"8,493",Paperback,169.0,https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112/ref=zg_bs_g_64619755031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_11_bl/000-0000000-0000000
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for childre",Murty Sudha,4.6 out of 5 stars,"23,784",Paperback,172.0,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_g_64619755031_d_sccl_12/000-0000000-0000000?psc=1,NA
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Number",Wonder House Books,4.3 out of 5 stars,"12,232",Paperback,199.0,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_g_64619755031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_13_bl/000-0000000-0000000
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"14,877",Board book,799.0,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_64619755031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_64619755031_d_sccl_14_bl/000-0000000-0000000
Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination,"Veena Aggarwal, R S; Aggarwal",4.4 out of 5 stars,"2,071",Paperback,655.0,https://www.amazon.in/Secondary-School-Mathematics-Examination-2020-2021/dp/9388704517/ref=zg_bs_g_64619755031_d_sccl_15/000-0000000-0000000?psc=1,NA
Addition and Subtraction Activity Book For Children - 80+ Activities Inside,Wonder House Books,4.4 out of 5 stars,362,Paperback,99.0,https://www.amazon.in/Addition-Subtraction-Activity-Book-Children/dp/9354402380/ref=zg_bs_g_64619755031_d_sccl_16/000-0000000-0000000?psc=1,NA
1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids,Wonder House Books,4.5 out of 5 stars,"1,915",Paperback,159.0,https://www.amazon.in/1800-Reward-Stickers-Teachers-Parents/dp/9388810740/ref=zg_bs_g_64619755031_d_sccl_17/000-0000000-0000000?psc=1,NA
All In One Class 10th Science for CBSE Exam 2024,"Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor , Imran Ahmad ",4.3 out of 5 stars,618,Paperback,378.0,https://www.amazon.in/Class-10th-Science-CBSE-Exam-2024/dp/9350105993/ref=zg_bs_g_64619755031_d_sccl_18/000-0000000-0000000?psc=1,NA
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals",Maple Press,4.3 out of 5 stars,"3,711",Paperback,190.0,https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_g_64619755031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Maple-Press/e/B01N6PRWN6/ref=zg_bs_g_64619755031_d_sccl_19_bl/000-0000000-0000000
Shlokas and Mantras For Kids – English/Sanskrit | Illustrated Board Book for Children with Clear Text | Sanskrit Shlokas/Mant,Wonder House Books,4.7 out of 5 stars,632,Board book,199.0,https://www.amazon.in/Shlokas-Mantras-Kids-Illustrated-Tradition/dp/9354405169/ref=zg_bs_g_64619755031_d_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_64619755031_d_sccl_20_bl/000-0000000-0000000
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.4 out of 5 stars,"1,751",Paperback,45.0,https://www.amazon.in/NCERT-Textbooks-English-class-12/dp/B08K4JM83V/ref=zg_bs_g_64619755031_d_sccl_21/000-0000000-0000000?psc=1,NA
