Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Tinkle Double Digest No 153,Multiple Writers,4.4 out of 5 stars,534,Kindle Edition,126.0,https://www.amazon.in/Tinkle-Double-Digest-No-153-ebook/dp/B08L3NPZB7/ref=zg_bs_g_1318104031_d_sccl_1/000-0000000-0000000?psc=1,NA
CHACHA CHAUDHARY AND TEMPLE THIEF: CHACHA CHAUDHARY COMICS,PRAN KUMAR SHARMA,4.4 out of 5 stars,"2,401",Kindle Edition,227.7,https://www.amazon.in/CHACHA-CHAUDHARY-TEMPLE-THIEF-COMICS-ebook/dp/B072SX7PT2/ref=zg_bs_g_1318104031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/PRAN-KUMAR-SHARMA/e/B014P1FY8C/ref=zg_bs_g_1318104031_d_sccl_2_bl/000-0000000-0000000
Tinkle Double Digest No 155,Multiple Writers,4.4 out of 5 stars,302,Kindle Edition,126.0,https://www.amazon.in/Tinkle-Double-Digest-No-155-ebook/dp/B08L4TFJJL/ref=zg_bs_g_1318104031_d_sccl_3/000-0000000-0000000?psc=1,NA
Krishna (Amar Chitra Katha),Anant Pai,4.6 out of 5 stars,"1,249",Kindle Edition,71.4,https://www.amazon.in/Krishna-Epics-Mythology-ANANT-PAI-ebook/dp/B01NBW0HFH/ref=zg_bs_g_1318104031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Anant-Pai/e/B002UD2OJA/ref=zg_bs_g_1318104031_d_sccl_4_bl/000-0000000-0000000
Attack on Titan Vol. 1,Hajime Isayama,4.6 out of 5 stars,"8,661",Kindle Edition,512.0,https://www.amazon.in/Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00CCOO1HA/ref=zg_bs_g_1318104031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Hajime-Isayama/e/B006X1KSKM/ref=zg_bs_g_1318104031_d_sccl_5_bl/000-0000000-0000000
CHACHA CHAUDHARY DIGEST 1: CHACHA CHAUDHARY,PRAN KUMAR SHARMA,4.4 out of 5 stars,"1,121",Kindle Edition,181.0,https://www.amazon.in/CHACHA-CHAUDHARY-DIGEST-ebook/dp/B016TNH8LK/ref=zg_bs_g_1318104031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/PRAN-KUMAR-SHARMA/e/B014P1FY8C/ref=zg_bs_g_1318104031_d_sccl_6_bl/000-0000000-0000000
Amazing Spider-Man: Worldwide Collection Vol. 1 (Amazing Spider-Man (2015-2018)),Dan Slott,4.5 out of 5 stars,320,Kindle Edition,623.8,https://www.amazon.in/Amazing-Spider-Man-Worldwide-Collection-2015-2018-ebook/dp/B07RHQ2PNP/ref=zg_bs_g_1318104031_d_sccl_7/000-0000000-0000000?psc=1,NA
Jujutsu kaisen volume -1,GEGE AKUTAMI,4.1 out of 5 stars,37,Library Binding,198.0,https://www.amazon.in/Jujutsu-kaisen-1-GEGE-AKUTAMI/dp/B0BHSCV18K/ref=zg_bs_g_1318104031_d_sccl_8/000-0000000-0000000?psc=1,NA
Valmiki's Ramayana,Multiple Writers,4.7 out of 5 stars,572,Kindle Edition,313.9,https://www.amazon.in/Valmikis-Ramayana-Multiple-Writers-ebook/dp/B0B88HQT58/ref=zg_bs_g_1318104031_d_sccl_9/000-0000000-0000000?psc=1,NA
One Piece Vol 1 Comic,Author Eiichiro Oda,3.6 out of 5 stars,76,Paperback,190.0,https://www.amazon.in/One-Piece-Vol-1-Comic/dp/B0BGZT784C/ref=zg_bs_g_1318104031_d_sccl_10/000-0000000-0000000?psc=1,NA
Tinkle Double Double Digest No. 17,Multiple Writers,4.4 out of 5 stars,26,Kindle Edition,290.7,https://www.amazon.in/Tinkle-Double-Digest-No-17-ebook/dp/B0B4K4RJKC/ref=zg_bs_g_1318104031_d_sccl_11/000-0000000-0000000?psc=1,NA
