Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Make Epic Money,Ankur Warikoo,4.2 out of 5 stars,79,Hardcover,259.0,https://www.amazon.in/Make-Epic-Money-Ankur-Warikoo/dp/0670099813/ref=zg_bs_g_1318105031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Ankur-Warikoo/e/B09PRNNCFC/ref=zg_bs_g_1318105031_d_sccl_1_bl/000-0000000-0000000
The Personal MBA : Revised and 10 Anv Ed,Josh Kaufman,4.5 out of 5 stars,"6,598",Paperback,464.3,https://www.amazon.in/Personal-MBA-World-Class-Business-Education/dp/0670919535/ref=zg_bs_g_1318105031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Josh-Kaufman/e/B003UOZ57Q/ref=zg_bs_g_1318105031_d_sccl_2_bl/000-0000000-0000000
"Let's Talk Mutual Funds : A Systematic, Smart Way to Make Them Work for You",Monika Halan,4.6 out of 5 stars,431,Paperback,279.0,https://www.amazon.in/Lets-Talk-Mutual-Funds-Systematic/dp/9356991464/ref=zg_bs_g_1318105031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Monika-Halan/e/B07FZZNN45/ref=zg_bs_g_1318105031_d_sccl_3_bl/000-0000000-0000000
HOOKED,Nir Eyal,4.6 out of 5 stars,"7,491",Hardcover,464.3,https://www.amazon.in/HOOKED-Nir-Eyal/dp/0241184835/ref=zg_bs_g_1318105031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Nir-Eyal/e/B00HJ8021I/ref=zg_bs_g_1318105031_d_sccl_4_bl/000-0000000-0000000
Generative AI: The Insights You Need from Harvard Business Review (HBR Insights Series),Harvard Business Review,4.2 out of 5 stars,10,Audible Audiobook,351.0,https://www.amazon.in/Generative-AI-Insights-Harvard-Business/dp/B0CWBKF4B2/ref=zg_bs_g_1318105031_d_sccl_5/000-0000000-0000000?psc=1,NA
Data Structures And Algorithms Made Easy: Data Structures And Algorithmic Puzzles,Narasimha Karumanchi,4.4 out of 5 stars,"3,007",Paperback,575.0,https://www.amazon.in/Data-Structures-Algorithms-Made-Easy/dp/8193245288/ref=zg_bs_g_1318105031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Narasimha-Karumanchi/e/B004S7ZXQM/ref=zg_bs_g_1318105031_d_sccl_6_bl/000-0000000-0000000
The Lean Startup : The Million Copy Bestseller Driving Entrepreneurs to Success,RIES ERIC,4.5 out of 5 stars,"13,637",Paperback,615.9,https://www.amazon.in/Lean-Startup-Innovation-Successful-Businesses/dp/0670921602/ref=zg_bs_g_1318105031_d_sccl_7/000-0000000-0000000?psc=1,NA
Investonomy : The Stock Market Guide That Makes You Rich,Pranjal Kamra,4.3 out of 5 stars,"1,558",Paperback,206.0,https://www.amazon.in/Investonomy-Stock-Market-Guide-Makes/dp/0143455044/ref=zg_bs_g_1318105031_d_sccl_8/000-0000000-0000000?psc=1,NA
System Design Interview: An insider's guide – 2 Volume Set (Full Colour Edition),Alex Xu,4.7 out of 5 stars,50,Paperback,"3,064.0",https://www.amazon.in/System-Design-Interview-insiders-Colour/dp/9355426844/ref=zg_bs_g_1318105031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Alex-Xu/e/B08BNMFT7P/ref=zg_bs_g_1318105031_d_sccl_9_bl/000-0000000-0000000
Data Structures and Algorithms Made Easy in Java,Narasimha Karumanchi,4.3 out of 5 stars,"1,193",Paperback,599.0,https://www.amazon.in/Data-Structures-Algorithms-Made-Easy/dp/8192107558/ref=zg_bs_g_1318105031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Narasimha-Karumanchi/e/B004S7ZXQM/ref=zg_bs_g_1318105031_d_sccl_10_bl/000-0000000-0000000
