Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Shlokas and Mantras - Activity Book For Kids - Illustrated Book With Engaging Activities and Sticker Sheets,Wonder House Books,4.7 out of 5 stars,694,Hardcover,149.0,https://www.amazon.in/Shlokas-Mantras-Activity-Illustrated-Activities/dp/935440524X/ref=zg_bs_g_1318118031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_1318118031_d_sccl_1_bl/000-0000000-0000000
Mandala Art: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,"6,049",Paperback,169.0,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_g_1318118031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318118031_d_sccl_2_bl/000-0000000-0000000
Relaxing Mandala Coloring Book For Adults,Wonder House Books,4.4 out of 5 stars,351,Paperback,109.0,https://www.amazon.in/Relaxing-Mandala-Coloring-Book-Adults/dp/9354404863/ref=zg_bs_g_1318118031_d_sccl_3/000-0000000-0000000?psc=1,NA
A Man Called Ove,Fredrik Backman,4.6 out of 5 stars,"175,887",Paperback,255.0,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812/ref=zg_bs_g_1318118031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Fredrik-Backman/e/B00KV5TN4I/ref=zg_bs_g_1318118031_d_sccl_4_bl/000-0000000-0000000
Masala Lab,Ashok Krish,4.5 out of 5 stars,"2,518",Paperback,259.0,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_g_1318118031_d_sccl_5/000-0000000-0000000?psc=1,NA
Mandala: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,"4,624",Paperback,159.0,https://www.amazon.in/Mandala-Colouring-Books-Adults-Sheets/dp/938653861X/ref=zg_bs_g_1318118031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318118031_d_sccl_6_bl/000-0000000-0000000
"JOYFULL: Cook Effortlessly, Eat Freely, Live Radiantly",Radhi Devlukia-Shetty,4.9 out of 5 stars,75,Paperback,799.0,https://www.amazon.in/JOYFULL-Cook-Effortlessly-Freely-Radiantly/dp/0008618747/ref=zg_bs_g_1318118031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Radhi-Devlukia-Shetty/e/B0CTLMT4WT/ref=zg_bs_g_1318118031_d_sccl_7_bl/000-0000000-0000000
Ikigai English (PB),Keira Miki,4.0 out of 5 stars,901,Paperback,170.0,https://www.amazon.in/Ikigai-Japanese-staying-Young-growing/dp/9355991479/ref=zg_bs_g_1318118031_d_sccl_8/000-0000000-0000000?psc=1,NA
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4 out of 5 stars,"3,001",Paperback,155.0,https://www.amazon.in/My-First-ABC-Sticker-Book/dp/9388144937/ref=zg_bs_g_1318118031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318118031_d_sccl_9_bl/000-0000000-0000000
Days at the Morisaki Bookshop : A charming and uplifting Japanese translated story on the healing power of books,Satoshi Yagisawa,4.2 out of 5 stars,"2,021",Paperback,275.0,https://www.amazon.in/Days-Morisaki-Bookshop-International-Bestseller/dp/1786583232/ref=zg_bs_g_1318118031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Satoshi-Yagisawa/e/B00IJ7H8XI/ref=zg_bs_g_1318118031_d_sccl_10_bl/000-0000000-0000000
