Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,"294,571",Paperback,269.0,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318161031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Alex-Michaelides/e/B07CZQY3KT/ref=zg_bs_g_1318161031_d_sccl_1_bl/000-0000000-0000000
The Hidden Hindu,Akshat Gupta,4.4 out of 5 stars,"3,448",Paperback,159.0,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_1318161031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318161031_d_sccl_2_bl/000-0000000-0000000
"Trust No One: A suspenseful, completely addictive psychological thriller from TOP 10 BESTSELLER Keri Beevis",Keri Beevis,4.5 out of 5 stars,"1,769",Kindle Edition,86.2,https://www.amazon.in/Trust-One-suspenseful-completely-psychological-ebook/dp/B0C962MJCG/ref=zg_bs_g_1318161031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Keri-Beevis/e/B00BNUIZJE/ref=zg_bs_g_1318161031_d_sccl_3_bl/000-0000000-0000000
The Hidden Hindu Book 2,Akshat Gupta,4.6 out of 5 stars,"1,859",Paperback,211.0,https://www.amazon.in/Hidden-Hindu-2-Akshat-Gupta/dp/0143456547/ref=zg_bs_g_1318161031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318161031_d_sccl_4_bl/000-0000000-0000000
The Perfect Murder,Ruskin Bond,3.9 out of 5 stars,"1,739",Kindle Edition,149.4,https://www.amazon.in/Perfect-Murder-Ruskin-Bond-ebook/dp/B01MY09C7U/ref=zg_bs_g_1318161031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Ruskin-Bond/e/B01D2X1L8G/ref=zg_bs_g_1318161031_d_sccl_5_bl/000-0000000-0000000
"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,4.3 out of 5 stars,"272,300",Paperback,170.0,https://www.amazon.in/VERITY-Paperback-Hoover-Colleen/dp/1408726602/ref=zg_bs_g_1318161031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Colleen-Hoover/e/B006SKAK42/ref=zg_bs_g_1318161031_d_sccl_6_bl/000-0000000-0000000
"That Night: Four Friends, Twenty Years,",Nidhi Upadhyay,4.3 out of 5 stars,"2,639",Paperback,164.0,https://www.amazon.in/That-Night-Friends-Haunting-Secret/dp/0143451871/ref=zg_bs_g_1318161031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Nidhi-Upadhyay/e/B08WC3TVNS/ref=zg_bs_g_1318161031_d_sccl_7_bl/000-0000000-0000000
Best Books Series Set of 3 Hidden Hindu Triology | The Hidden Hindu + The Hidden Hindu 2 + The Hidden Hindu 3 | Saat Chiranje,Akshat Gupta,4.2 out of 5 stars,198,Paperback,495.0,https://www.amazon.in/Hidden-Triology-Chiranjeevi-%E0%A4%9A%E0%A4%BF%E0%A4%B0%E0%A4%82%E0%A4%9C%E0%A5%80%E0%A4%B5%E0%A5%80-Akshat/dp/B0CK3Y94R9/ref=zg_bs_g_1318161031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318161031_d_sccl_8_bl/000-0000000-0000000
Hunted By A Shadow (Kings Of Mafia),Michelle Heard,4.3 out of 5 stars,"3,144",Kindle Edition,415.0,https://www.amazon.in/Hunted-Shadow-Kings-Mafia-Michelle-ebook/dp/B0CPQ4G7LT/ref=zg_bs_g_1318161031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Michelle-Heard/e/B007BBSJR2/ref=zg_bs_g_1318161031_d_sccl_9_bl/000-0000000-0000000
The Hidden Hindu (Hindi Translation of The Hidden Hindu) Paperback,Akshat Gupta,4.4 out of 5 stars,"2,057",Paperback,170.0,https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_g_1318161031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318161031_d_sccl_10_bl/000-0000000-0000000
Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,4.5 out of 5 stars,"283,731",Paperback,295.0,https://www.amazon.in/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_g_1318161031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Colleen-Hoover/e/B006SKAK42/ref=zg_bs_g_1318161031_d_sccl_11_bl/000-0000000-0000000
