Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Problems In General Physics,IE Irodov,4.5 out of 5 stars,284,Paperback,111.0,https://www.amazon.in/Problems-General-Physics-IE-Irodov/dp/938812734X/ref=zg_bs_g_22960344031_d_sccl_1/000-0000000-0000000?psc=1,NA
"MTG 18 Years Karnataka CET Chapterwise Solutions Physics, Chemistry & Mathematics - KCET Previous Year Solved Papers, KCET En",MTG Editorial Board,4.6 out of 5 stars,51,Paperback,453.0,https://www.amazon.in/Karnataka-Chapterwise-Solutions-Chemistry-Mathematics/dp/9355559135/ref=zg_bs_g_22960344031_d_sccl_2/000-0000000-0000000?psc=1,NA
"MTG MHT CET 10 Years Chapterwise Solved Question Papers (Physics, Chemistry & Mathematics) | MHT CET PYQs For 2024 Exam",MTG Editorial Board,4.5 out of 5 stars,4,Paperback,368.0,https://www.amazon.in/Chapterwise-Question-Physics-Chemistry-Mathematics/dp/8119218248/ref=zg_bs_g_22960344031_d_sccl_3/000-0000000-0000000?psc=1,NA
"MTG VITEEE Chapterwise Previous 13 Years Solved Papers With 5 Model Test Papers Physics, Chemistry, Mathematics, English & Qu",MTG Editorial Board,4.4 out of 5 stars,77,Paperback,313.0,https://www.amazon.in/Chapterwise-Previous-Chemistry-Mathematics-Quantitative/dp/9355559119/ref=zg_bs_g_22960344031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_22960344031_d_sccl_4_bl/000-0000000-0000000
Knowledge Encyclopedia Space,Wonder House Books,4.5 out of 5 stars,149,Hardcover,609.0,https://www.amazon.in/Knowledge-Encyclopedia-Wonder-House-Books/dp/935440443X/ref=zg_bs_g_22960344031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_22960344031_d_sccl_5_bl/000-0000000-0000000
"MTG WB JEE Previous 10 Years Chapterwise Solved Question Papers With 3 Model Test Papers - Physics, Chemistry & Mathematics F",MTG Editorial Board,4.6 out of 5 stars,10,Paperback,570.0,https://www.amazon.in/Previous-Chapterwise-Solved-Question-Papers/dp/9355559550/ref=zg_bs_g_22960344031_d_sccl_6/000-0000000-0000000?psc=1,NA
Indian Forestry A Breakthrough Approach (9th Edition),"IFS K. Manikandan, S. Prabhu",4.1 out of 5 stars,32,Paperback,400.0,https://www.amazon.in/Indian-Forestry-Breakthrough-Approach-9th/dp/B0C9QMG8SC/ref=zg_bs_g_22960344031_d_sccl_7/000-0000000-0000000?psc=1,NA
MTG WB JEE Chapterwise Explorer Physics & Chemistry For 2024 Exam - WB JEE Engineering Previous Years Solved Papers | Model T,MTG Editorial Board,4.1 out of 5 stars,21,Paperback,444.0,https://www.amazon.in/Chapterwise-Explorer-Physics-Chemistry-2024/dp/935555916X/ref=zg_bs_g_22960344031_d_sccl_8/000-0000000-0000000?psc=1,NA
PLANE TRIGONOMETRY Part-1,SL Loney,4.3 out of 5 stars,143,Paperback,101.0,https://www.amazon.in/PLANE-TRIGONOMETRY-Part-1-SL-Loney/dp/9388127293/ref=zg_bs_g_22960344031_d_sccl_9/000-0000000-0000000?psc=1,NA
CIVIL BOOSTER ENGINEERING HAND BOOK WITH CIVIL CAPSULE POCKET DICTIONARY & FREE FORMULA CHART 24 SUBJECTS BY PREETI SINGH 202,Suresh Sorou,4.3 out of 5 stars,76,Perfect Paperback,530.0,https://www.amazon.in/BOOSTER-ENGINEERING-CAPSULE-DICTIONARY-SUBJECTS/dp/B0C3DH2XXQ/ref=zg_bs_g_22960344031_d_sccl_10/000-0000000-0000000?psc=1,NA
"MTG COMEDK Chapterwise Previous 13 Years Questions (PYQ) Papers With Detailed Solutions Physics, Chemistry & Mathematics Book",MTG Editorial Board,4.5 out of 5 stars,9,Paperback,355.0,https://www.amazon.in/Chapterwise-Questions-Solutions-Chemistry-Mathematics/dp/9355559100/ref=zg_bs_g_22960344031_d_sccl_11/000-0000000-0000000?psc=1,NA
MECHANICAL ENGINEERING (CONVENTIONAL AND OBJECTIVE TYPE),RS Khurmi,4.3 out of 5 stars,178,Unknown Binding,545.0,https://www.amazon.in/MECHANICAL-ENGINEERING-CONVENTIONAL-OBJECTIVE-TYPE/dp/9355014457/ref=zg_bs_g_22960344031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/RS-Khurmi/e/B00J214B1C/ref=zg_bs_g_22960344031_d_sccl_12_bl/000-0000000-0000000
MTG WB JEE Chapterwise Explorer Mathematics For 2024 Exam - WB JEE Engineering Previous Years Solved Papers | Model Test Pape,MTG Editorial Board,4.5 out of 5 stars,18,Paperback,415.0,https://www.amazon.in/Chapterwise-Explorer-Mathematics-2024-Exam/dp/9355559097/ref=zg_bs_g_22960344031_d_sccl_13/000-0000000-0000000?psc=1,NA
"MHT CET Solved Papers - 2023 | MHT-CET Physics, Chemistry & Maths Previous Year Questions Papers (PYQ) | MHCET PCM Includes A",Target Publications,4.7 out of 5 stars,8,Paperback,306.0,https://www.amazon.in/MHT-CET-Solved-Papers-Self-Assessment/dp/B0CHZ1KPQL/ref=zg_bs_g_22960344031_d_sccl_14/000-0000000-0000000?psc=1,NA
"Arihant 46 Years Physics, Chemistry, Mathematics Chapterwise Topicwise Solved Papers 2023-1978 IIT JEE Jee Main & Advanced (S","Ranjeet Shahi DC Pandey, Amit M Agarwal",4.0 out of 5 stars,40,Paperback,"1,399.0",https://www.amazon.in/Chemistry-Mathematics-Chapterwise-Topicwise-2023-1978/dp/9358895225/ref=zg_bs_g_22960344031_d_sccl_15/000-0000000-0000000?psc=1,NA
"MHT-CET Triumph Maths Book | Includes 6000+ MCQs Chapterwise & Topicwise, Previous Years Questions (PYQs) & Model Papers | Ba",Target Publications,5.0 out of 5 stars,3,Paperback,427.0,https://www.amazon.in/Chapterwise-Topicwise-Previous-Questions-Syllabus/dp/B0CG264VPK/ref=zg_bs_g_22960344031_d_sccl_16/000-0000000-0000000?psc=1,NA
Steam Tables,R.S Khurmi,4.4 out of 5 stars,812,Perfect Paperback,85.0,https://www.amazon.in/Steam-Tables-Mollier-Diagrams-Units/dp/8121906547/ref=zg_bs_g_22960344031_d_sccl_17/000-0000000-0000000?psc=1,NA
"MHT-CET Triumph Physics, Chemistry & Maths Book | 20000+ PCM MCQs Chapterwise & Topicwise, Previous Years Questions (PYQs) & ",Target Publications,4.8 out of 5 stars,6,Paperback,"1,550.0",https://www.amazon.in/Chemistry-Chapterwise-Topicwise-Previous-Questions/dp/B0CG63N5XZ/ref=zg_bs_g_22960344031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Target-Publications/e/B07VB873HV/ref=zg_bs_g_22960344031_d_sccl_18_bl/000-0000000-0000000
"Commercial's The Pre-Conception and Pre-Natal Diagnostic Techniques ( Prohibition of Sex Selection ) Act, 1994 with Rules, La",Commercial,NA,NA,Paperback,125.0,https://www.amazon.in/Commercials-Pre-Conception-Diagnostic-Techniques-Prohibition/dp/B0CNS48N1Z/ref=zg_bs_g_22960344031_d_sccl_19/000-0000000-0000000?psc=1,NA
GAT-B Biotechnology Previous Year Questions & Practice (3300+) Book- Topicwise Sorted PYQs with Detailed Explanation - Useful,Kailash Choudhary,4.6 out of 5 stars,5,Paperback,616.0,https://www.amazon.in/Biotechnology-Previous-Questions-Topicwise-Explanation/dp/B0CFHS9266/ref=zg_bs_g_22960344031_d_sccl_20/000-0000000-0000000?psc=1,NA
Mechanism in Organic Chemistry for the JEE,Peter Sykes,4.4 out of 5 stars,693,Paperback,328.0,https://www.amazon.in/Guidebook-Mechanism-Organic-Chemistry-JEE/dp/8131793559/ref=zg_bs_g_22960344031_d_sccl_21/000-0000000-0000000?psc=1,NA
"Crack in Creation, A: The New Power to Control Evolution",Jennifer Doudna,4.5 out of 5 stars,459,Paperback,699.0,https://www.amazon.in/Crack-Creation-Power-Control-Evolution/dp/1784702765/ref=zg_bs_g_22960344031_d_sccl_22/000-0000000-0000000?psc=1,NA
Objective Electrical Technology,VK Mehta,4.2 out of 5 stars,130,Paperback,580.0,https://www.amazon.in/Objective-Electrical-Technology-Rohit-Mehta/dp/9355014465/ref=zg_bs_g_22960344031_d_sccl_23/000-0000000-0000000?psc=1,NA
"Concise Inorganic Chemistry, 5/E",J.D. Lee,4.4 out of 5 stars,"1,153",Paperback,360.0,https://www.amazon.in/Concise-Inorganic-Chemistry-Fifth-J-D/dp/8126515546/ref=zg_bs_g_22960344031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/J-D-Lee/e/B001HQ4JS0/ref=zg_bs_g_22960344031_d_sccl_24_bl/000-0000000-0000000
MULTIPLE CHOICE QUESTIONS & SOLUTIONS FOR MINING PROFESSIONALS FIFTH REVISED & ENLARGED EDITION,Dr N C Dey,3.8 out of 5 stars,41,Paperback,500.0,https://www.amazon.in/MULTIPLE-QUESTIONS-SOLUTIONS-PROFESSIONALS-ENLARGED/dp/817956147X/ref=zg_bs_g_22960344031_d_sccl_25/000-0000000-0000000?psc=1,NA
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,4.7 out of 5 stars,"2,440",Audible Audiobook,135.0,https://www.amazon.in/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/B08VKSRFFT/ref=zg_bs_g_22960344031_d_sccl_26/000-0000000-0000000?psc=1,NA
