Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,Aditya Ranjan Sir,4.5 out of 5 stars,"1,036",Paperback,150.0,https://www.amazon.in/BRAHMASTRA-Complete-Multicolored-Formula-BILINGUAL/dp/9387910016/ref=zg_bs_g_4149751031_d_sccl_1/000-0000000-0000000?psc=1,NA
Indian Polity for UPSC (English)|7th Edition|Civil Services Exam| State Administrative Exams,M Laxmikanth,4.6 out of 5 stars,"1,291",Paperback,700.0,https://www.amazon.in/Indian-Polity-English-Services-Administrative/dp/9355325347/ref=zg_bs_g_4149751031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/M-Laxmikanth/e/B00IZAQPQU/ref=zg_bs_g_4149751031_d_sccl_2_bl/000-0000000-0000000
Maths RPF Warrior by Aditya Ranjan Sir,Aditya Ranjan Sir,NA,NA,Paperback,189.0,https://www.amazon.in/Maths-RPF-Warrior-Aditya-Ranjan/dp/9358704195/ref=zg_bs_g_4149751031_d_sccl_3/000-0000000-0000000?psc=1,NA
PW NTA NEET Rankers Test Series - 2024 Based on the New Syllabus by NMC | 10 Full Syllabus + 4 Part Syllabus (Class 11th & 12,PW,4.4 out of 5 stars,154,Paperback,499.0,https://www.amazon.in/NTA-NEET-Rankers-Test-State-wise/dp/811986087X/ref=zg_bs_g_4149751031_d_sccl_4/000-0000000-0000000?psc=1,NA
29 Previous Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2023) 14th Edition | General Studies,Mrunal Patel,4.3 out of 5 stars,728,Paperback,470.9,https://www.amazon.in/Previous-Services-Prelims-Topic-wise-Solved/dp/9355646488/ref=zg_bs_g_4149751031_d_sccl_5/000-0000000-0000000?psc=1,NA
Blackbook of English Vocabulary,Nikhil K.R. Gupta,4.5 out of 5 stars,"2,558",Paperback,329.0,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_g_4149751031_d_sccl_6/000-0000000-0000000?psc=1,NA
"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions ",KVS Madaan,4.4 out of 5 stars,"1,186",Paperback,359.0,https://www.amazon.in/NTA-Paper-Teaching-Research-Aptitude/dp/935606590X/ref=zg_bs_g_4149751031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/KVS-Madaan/e/B075VYNLKK/ref=zg_bs_g_4149751031_d_sccl_7_bl/000-0000000-0000000
"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Se",R. S Aggarwal,4.3 out of 5 stars,"2,171",Paperback,400.0,https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Revised/dp/9355012322/ref=zg_bs_g_4149751031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/R-S-Aggarwal/e/B00ITXRBD4/ref=zg_bs_g_4149751031_d_sccl_8_bl/000-0000000-0000000
Educart Abhyaas NEET UG Mock Test Papers 2024 Final Booklets - New Full Syllabus & Unitwise (Includes Supplement Revision Boo,Seep Pahuja,4.5 out of 5 stars,224,Paperback,940.0,https://www.amazon.in/Educart-Abhyaas-Papers-Final-Booklets/dp/9357038728/ref=zg_bs_g_4149751031_d_sccl_9/000-0000000-0000000?psc=1,NA
Quantitative Aptitude for CAT |10th Edition|Quant| CAT 2024 Exam,ARUN SHARMA,4.5 out of 5 stars,"1,119",Paperback,749.0,https://www.amazon.in/Quantitative-Aptitude-10th-Quant-2024/dp/9355321627/ref=zg_bs_g_4149751031_d_sccl_10/000-0000000-0000000?psc=1,NA
SSC TCS PYQs Mathematics Chapterwise & Typewise Solved Papers 11950+ Till - December 2023 (Stat. & Probab.) (Detailed & Short,Kiran Institute of Career Excellence,3.9 out of 5 stars,54,Paperback,572.0,https://www.amazon.in/Mathematics-Chapterwise-Typewise-Solved-Papers/dp/9357158316/ref=zg_bs_g_4149751031_d_sccl_11/000-0000000-0000000?psc=1,NA
"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & B",MTG Editorial Board,4.4 out of 5 stars,579,Paperback,899.0,https://www.amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/935555897X/ref=zg_bs_g_4149751031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_4149751031_d_sccl_12_bl/000-0000000-0000000
"PW Physics Med Easy Notes | Notes, Formulas, Mnemonics, Tips & Tricks for NEET/JEE & Board Exams | MR Sir Physics Handwritten",Dr. Manish Raj (MR. Sir),4.8 out of 5 stars,"2,003",Paperback,420.0,https://www.amazon.in/Physics-Formulas-Mnemonics-Tricks-Handwritten/dp/8119352947/ref=zg_bs_g_4149751031_d_sccl_13/000-0000000-0000000?psc=1,NA
Verbal Ability & Reading Comprehension for CAT| 10th Edition |VARC | CAT 2024 Exam,Arun Sharma,4.5 out of 5 stars,695,Paperback,719.0,https://www.amazon.in/Verbal-Ability-Reading-Comprehension-10th/dp/9355321015/ref=zg_bs_g_4149751031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Arun-Sharma/e/B074VT3387/ref=zg_bs_g_4149751031_d_sccl_14_bl/000-0000000-0000000
