Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
The Hidden Hindu Book 2,Akshat Gupta,4.6 out of 5 stars,"1,859",Paperback,211.0,https://www.amazon.in/Hidden-Hindu-2-Akshat-Gupta/dp/0143456547/ref=zg_bs_g_1402038031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1402038031_d_sccl_1_bl/000-0000000-0000000
Acts of God,Kanan Gill,4.5 out of 5 stars,80,Paperback,259.0,https://www.amazon.in/Acts-God-Kanan-Gill/dp/9356996822/ref=zg_bs_g_1402038031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Kanan-Gill/e/B0CRSVHRPX/ref=zg_bs_g_1402038031_d_sccl_2_bl/000-0000000-0000000
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"108,431",Paperback,349.0,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658/ref=zg_bs_g_1402038031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_3_bl/000-0000000-0000000
Dune,Frank Herbert,4.5 out of 5 stars,"88,874",Audible Audiobook,301.0,https://www.amazon.in/Dune/dp/B079TMGT8S/ref=zg_bs_g_1402038031_d_sccl_4/000-0000000-0000000?psc=1,NA
The Cruel Prince (The Folk of the Air),Holly Black,4.5 out of 5 stars,"42,180",Kindle Edition,310.7,https://www.amazon.in/Cruel-Prince-Folk-Air-ebook/dp/B071XQ6H38/ref=zg_bs_g_1402038031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Holly-Black/e/B001H6GPWS/ref=zg_bs_g_1402038031_d_sccl_5_bl/000-0000000-0000000
Dune,Frank Herbert,4.5 out of 5 stars,"88,874",Mass Market Paperback,453.7,https://www.amazon.in/Dune-Frank-Herbert/dp/0441172717/ref=zg_bs_g_1402038031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Frank-Herbert/e/B000APO5OM/ref=zg_bs_g_1402038031_d_sccl_6_bl/000-0000000-0000000
"That Night: Four Friends, Twenty Years,",Nidhi Upadhyay,4.3 out of 5 stars,"2,639",Paperback,164.0,https://www.amazon.in/That-Night-Friends-Haunting-Secret/dp/0143451871/ref=zg_bs_g_1402038031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Nidhi-Upadhyay/e/B08WC3TVNS/ref=zg_bs_g_1402038031_d_sccl_7_bl/000-0000000-0000000
Before the Coffee Gets Cold,Toshikazu Kawaguchi,4.3 out of 5 stars,"16,712",Paperback,357.0,https://www.amazon.in/Before-Coffee-Gets-Toshikazu-Kawaguchi/dp/1035035057/ref=zg_bs_g_1402038031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Toshikazu-Kawaguchi/e/B07YB6PKSH/ref=zg_bs_g_1402038031_d_sccl_8_bl/000-0000000-0000000
Dune Messiah,Frank Herbert,4.3 out of 5 stars,"26,133",Paperback,401.0,https://www.amazon.in/Dune-Messiah-Frank-Herbert/dp/0593098234/ref=zg_bs_g_1402038031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Frank-Herbert/e/B000APO5OM/ref=zg_bs_g_1402038031_d_sccl_9_bl/000-0000000-0000000
The Kalki Trilogy Set of 3 Books Avatar of Vishnu Eye of Brahma Sword of Shiva,Kevin Missal,4.4 out of 5 stars,211,Paperback,599.0,https://www.amazon.in/Kalki-Trilogy-Set-Books-Avatar/dp/9354407331/ref=zg_bs_g_1402038031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Kevin-Missal/e/B075VWWC6H/ref=zg_bs_g_1402038031_d_sccl_10_bl/000-0000000-0000000
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"108,431",Kindle Edition,NA,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1402038031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_11_bl/000-0000000-0000000
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7 out of 5 stars,"86,983",Kindle Edition,279.3,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_g_1402038031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_12_bl/000-0000000-0000000
THE GREAT DUNE TRILOGY,Frank Herbert,4.6 out of 5 stars,"5,241",Paperback,749.0,https://www.amazon.in/GREAT-DUNE-TRILOGY-Frank-Herbert/dp/0575070706/ref=zg_bs_g_1402038031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/Frank-Herbert/e/B000APO5OM/ref=zg_bs_g_1402038031_d_sccl_13_bl/000-0000000-0000000
Ghosts of The Silent Hills: Stories based on true hauntings,Anita Krishan,4.4 out of 5 stars,"2,756",Paperback,178.0,https://www.amazon.in/Ghosts-Silent-Hills-Stories-hauntings/dp/9389717132/ref=zg_bs_g_1402038031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Anita-Krishan/e/B075M548KN/ref=zg_bs_g_1402038031_d_sccl_14_bl/000-0000000-0000000
"The Immortals of Meluha (Shiva Trilogy Book 1) (Shiva, 1)",Amish Tripathi,4.6 out of 5 stars,"19,582",Paperback,287.0,https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy-Book/dp/9356290520/ref=zg_bs_g_1402038031_d_sccl_15/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1402038031_d_sccl_15_bl/000-0000000-0000000
Harry Potter and the Goblet of Fire,J.K. Rowling,4.8 out of 5 stars,"68,120",Kindle Edition,313.9,https://www.amazon.in/Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B019PIOJWW/ref=zg_bs_g_1402038031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_16_bl/000-0000000-0000000
DUNE,Frank Herbert,4.5 out of 5 stars,"88,874",Paperback,324.0,https://www.amazon.in/Dune-Reissue-0-Frank-Herbert/dp/0340960191/ref=zg_bs_g_1402038031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Frank-Herbert/e/B000APO5OM/ref=zg_bs_g_1402038031_d_sccl_17_bl/000-0000000-0000000
Harry Potter and the Deathly Hallows,J.K. Rowling,4.8 out of 5 stars,"87,386",Kindle Edition,313.9,https://www.amazon.in/Harry-Potter-Deathly-Hallows-Rowling-ebook/dp/B019PIOJVI/ref=zg_bs_g_1402038031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_18_bl/000-0000000-0000000
War Of Lanka (Ram Chandra Series Book 4),Amish Tripathi,4.3 out of 5 stars,"5,999",Paperback,361.0,https://www.amazon.in/War-Lanka-Ram-Chandra-Book/dp/9356291527/ref=zg_bs_g_1402038031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Amish-Tripathi/e/B005V7D3TW/ref=zg_bs_g_1402038031_d_sccl_19_bl/000-0000000-0000000
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7 out of 5 stars,"86,983",Paperback,390.0,https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666/ref=zg_bs_g_1402038031_d_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_20_bl/000-0000000-0000000
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.8 out of 5 stars,"75,185",Paperback,381.4,https://www.amazon.in/Harry-Potter-Prisoner-Azkaban/dp/1408855674/ref=zg_bs_g_1402038031_d_sccl_21/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_21_bl/000-0000000-0000000
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.8 out of 5 stars,"71,450",Paperback,510.0,https://www.amazon.in/Harry-Potter-Half-Blood-Prince/dp/1408855704/ref=zg_bs_g_1402038031_d_sccl_22/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_22_bl/000-0000000-0000000
Harry Potter Box Set: The Complete Collection (Children’s Paperback),J.K. Rowling,4.6 out of 5 stars,"34,364",Paperback,"2,785.0",https://www.amazon.in/Harry-Potter-ChildrenS-Paperback-Boxed/dp/1408856778/ref=zg_bs_g_1402038031_d_sccl_23/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_23_bl/000-0000000-0000000
The Three-Body Problem: Soon to be a major Netflix series: 1,Cixin Liu,4.5 out of 5 stars,"41,268",Paperback,409.0,https://www.amazon.in/Three-Body-Problem-Cixin-Liu/dp/178497157X/ref=zg_bs_g_1402038031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Cixin-Liu/e/B007JP96JU/ref=zg_bs_g_1402038031_d_sccl_24_bl/000-0000000-0000000
HARRY POTTER AND THE ORDER OF THE PHOENIX - 5,J.K. Rowling,4.7 out of 5 stars,"67,163",Paperback,611.0,https://www.amazon.in/HARRY-POTTER-ORDER-PHOENIX-5/dp/1408855690/ref=zg_bs_g_1402038031_d_sccl_25/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_25_bl/000-0000000-0000000
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.8 out of 5 stars,"71,450",Kindle Edition,313.9,https://www.amazon.in/Harry-Potter-Half-Blood-Prince-Rowling-ebook/dp/B019PIOJZE/ref=zg_bs_g_1402038031_d_sccl_26/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_26_bl/000-0000000-0000000
Harry Potter and the Goblet of Fire,J.K. Rowling,4.8 out of 5 stars,"68,120",Paperback,535.0,https://www.amazon.in/Harry-Potter-Goblet-Fire/dp/1408855682/ref=zg_bs_g_1402038031_d_sccl_27/000-0000000-0000000?psc=1,https://www.amazon.in/J-K-Rowling/e/B000AP9A6K/ref=zg_bs_g_1402038031_d_sccl_27_bl/000-0000000-0000000
Children of Dune: 3,Frank Herbert,4.5 out of 5 stars,"16,454",Paperback,396.0,https://www.amazon.in/Children-Dune-Frank-Herbert/dp/0593098242/ref=zg_bs_g_1402038031_d_sccl_28/000-0000000-0000000?psc=1,https://www.amazon.in/Frank-Herbert/e/B000APO5OM/ref=zg_bs_g_1402038031_d_sccl_28_bl/000-0000000-0000000
