Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
How to Finish Everything You Start,Jan Yager,4.1 out of 5 stars,227,Kindle Edition,259.3,https://www.amazon.in/How-Finish-Everything-You-Start-ebook/dp/B07MB1C99V/ref=zg_bs_g_1318128031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Jan-Yager/e/B001I9U62Y/ref=zg_bs_g_1318128031_d_sccl_1_bl/000-0000000-0000000
11 Rules For Life: Secrets to Level Up,Chetan Bhagat,4.8 out of 5 stars,45,Paperback,185.0,https://www.amazon.in/11-Rules-Life-Secrets-Level/dp/935699997X/ref=zg_bs_g_1318128031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Chetan-Bhagat/e/B001IQWOKY/ref=zg_bs_g_1318128031_d_sccl_2_bl/000-0000000-0000000
Atomic Habits : the life-changing million-copy #1 bestseller,James Clear,4.6 out of 5 stars,"90,747",Paperback,499.0,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_1318128031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/James-Clear/e/B07DJTJC3X/ref=zg_bs_g_1318128031_d_sccl_3_bl/000-0000000-0000000
"Understanding Body Language: How to Decode Nonverbal Communication in Life, Love, and Work",Scott  Rouse,4.5 out of 5 stars,"1,305",Kindle Edition,199.0,https://www.amazon.in/Understanding-Body-Language-Nonverbal-Communication-ebook/dp/B08PHGDPY7/ref=zg_bs_g_1318128031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Scott-Rouse/e/B08PQ9VWG9/ref=zg_bs_g_1318128031_d_sccl_4_bl/000-0000000-0000000
Own Your Body: A Doctor's Life-saving Tips,Dr. Shiv K Sarin,4.5 out of 5 stars,24,Paperback,359.0,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_1318128031_d_sccl_5/000-0000000-0000000?psc=1,NA
Ikigai,Francesc Miralles,4.6 out of 5 stars,"53,158",Hardcover,358.0,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_1318128031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Francesc-Miralles/e/B0892RZTY1/ref=zg_bs_g_1318128031_d_sccl_6_bl/000-0000000-0000000
The 7 Habits of Highly Effective People: Infographics Edition: Powerful Lessons in Personal Change,Stephen R. Covey,4.5 out of 5 stars,"18,246",Kindle Edition,136.7,https://www.amazon.in/Habits-Highly-Effective-People-Powerful-ebook/dp/B01069X4H0/ref=zg_bs_g_1318128031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Stephen-R-Covey/e/B000AQ2VAQ/ref=zg_bs_g_1318128031_d_sccl_7_bl/000-0000000-0000000
Don't Believe Everything You Think (English),Joseph Nguyen,4.5 out of 5 stars,"4,649",Paperback,178.0,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_1318128031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Joseph-Nguyen/e/B09WQV3GFV/ref=zg_bs_g_1318128031_d_sccl_8_bl/000-0000000-0000000
The Power of Your Subconscious Mind: Original Edition | Premium Paperback,Joseph Murphy,4.5 out of 5 stars,"81,704",Paperback,149.0,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_g_1318128031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Joseph-Murphy/e/B001HCYPOC/ref=zg_bs_g_1318128031_d_sccl_9_bl/000-0000000-0000000
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"60,216",Paperback,272.0,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_1318128031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Morgan-Housel/e/B084ZNV1LR/ref=zg_bs_g_1318128031_d_sccl_10_bl/000-0000000-0000000
