Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Own Your Body: A Doctor's Life-saving Tips,Dr. Shiv K Sarin,4.5 out of 5 stars,24,Paperback,359.0,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_23033693031_d_sccl_1/000-0000000-0000000?psc=1,NA
"30 DAYS: Change your habits, Change your life",Marc Reklau,4.4 out of 5 stars,"2,584",Kindle Edition,194.7,https://www.amazon.in/30-DAYS-Change-your-habits-ebook/dp/B07T1P4H6R/ref=zg_bs_g_23033693031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Marc-Reklau/e/B00IZALH04/ref=zg_bs_g_23033693031_d_sccl_2_bl/000-0000000-0000000
Pain: A Portal To Enlightenment,Shweta Singh Kirti,4.9 out of 5 stars,35,Paperback,275.0,https://www.amazon.in/Pain-Enlightenment-Shweta-Singh-Kirti/dp/0143461362/ref=zg_bs_g_23033693031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Shweta-Singh-Kirti/e/B0CN1GVGB7/ref=zg_bs_g_23033693031_d_sccl_3_bl/000-0000000-0000000
You Can Heal Your Life,Louise L. Hay,4.6 out of 5 stars,"5,654",Paperback,324.0,https://www.amazon.in/You-Can-Heal-Your-Life/dp/8190565583/ref=zg_bs_g_23033693031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Louise-L-Hay/e/B000APL6J4/ref=zg_bs_g_23033693031_d_sccl_4_bl/000-0000000-0000000
Make You Bed,William H. McRaven,4.5 out of 5 stars,"20,744",Hardcover,198.0,https://www.amazon.in/Make-Your-Bed-William-McRaven/dp/0718188861/ref=zg_bs_g_23033693031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/William-H-McRaven/e/B000APSSE0/ref=zg_bs_g_23033693031_d_sccl_5_bl/000-0000000-0000000
Psychopathology of Everyday Life by Sigmund Freud – A Masterpiece on Parapraxes | Psychoanalysis | Unconscious Mind | Masterf,Sigmund Freud,4.2 out of 5 stars,"1,008",Paperback,139.0,https://www.amazon.in/Psychopathology-Everyday-Life-Sigmund-Freud/dp/9354402208/ref=zg_bs_g_23033693031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Sigmund-Freud/e/B000AQ8VV4/ref=zg_bs_g_23033693031_d_sccl_6_bl/000-0000000-0000000
Dr Cuterus: Everything Nobody Tells You: Everything Nobody Tells You About Your Body,Dr Tanaya Narendra,4.7 out of 5 stars,632,Paperback,184.0,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_g_23033693031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Dr-Tanaya-Narendra/e/B0BP67JP94/ref=zg_bs_g_23033693031_d_sccl_7_bl/000-0000000-0000000
What to Expect When You're Expecting [Paperback] Heidi Murkoff,heidi murkoff,4.4 out of 5 stars,"3,159",Paperback,464.3,https://www.amazon.in/What-Expect-When-Youre-Expecting/dp/1471147533/ref=zg_bs_g_23033693031_d_sccl_8/000-0000000-0000000?psc=1,NA
Outlive,Peter Attia,4.6 out of 5 stars,"11,625",Paperback,534.0,https://www.amazon.in/Outlive-Science-Longevity-Peter-Attia/dp/1785044559/ref=zg_bs_g_23033693031_d_sccl_9/000-0000000-0000000?psc=1,NA
It's Not You: Identifying and Healing from Narcissistic People,Ramani Durvasula PhD,5.0 out of 5 stars,364,Hardcover,495.0,https://www.amazon.in/Its-Not-You-Identifying-Narcissistic/dp/0593492625/ref=zg_bs_g_23033693031_d_sccl_10/000-0000000-0000000?psc=1,NA
