Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,"2,471",Paperback,97.0,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_4149418031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Norman-Lewis/e/B000APT9WU/ref=zg_bs_g_4149418031_d_sccl_1_bl/000-0000000-0000000
Price Action Trading : Technical Analysis Simplified! by Sunil Gurjar (Chartmojo) - Chart Patterns | Candlestick Patterns | B,Sunil Gurjar (Chartmojo),4.3 out of 5 stars,"2,662",Paperback,318.0,https://www.amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612/ref=zg_bs_g_4149418031_d_sccl_2/000-0000000-0000000?psc=1,NA
Blackbook of English Vocabulary,Nikhil K.R. Gupta,4.5 out of 5 stars,"2,558",Paperback,329.0,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_g_4149418031_d_sccl_3/000-0000000-0000000?psc=1,NA
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,"17,283",Paperback,288.0,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_g_4149418031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Eric-Jorgenson/e/B07CKJFNGR/ref=zg_bs_g_4149418031_d_sccl_4_bl/000-0000000-0000000
"Trading Chart Pattern Book in Hindi | Includes Candlestick & Breakout Patterns | Indicators, Risk Management, Entry exit & Pr",Hivex Publication,4.7 out of 5 stars,392,Paperback,189.0,https://www.amazon.in/Candlestick-Breakout-Patterns-Indicators-Management/dp/8196423659/ref=zg_bs_g_4149418031_d_sccl_5/000-0000000-0000000?psc=1,NA
Taxmann’s New Criminal Laws Combo – Bharatiya Nyaya Sanhita 2023 (BNS) | Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) | Bha,Taxmann,4.2 out of 5 stars,62,Paperback,657.0,https://www.amazon.in/Taxmanns-New-Criminal-Laws-Combo/dp/B0CQYNHSBX/ref=zg_bs_g_4149418031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Taxmann/e/B08151K8VD/ref=zg_bs_g_4149418031_d_sccl_6_bl/000-0000000-0000000
Sapiens : THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,4.7 out of 5 stars,"117,914",Paperback,464.3,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_4149418031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_g_4149418031_d_sccl_7_bl/000-0000000-0000000
Target High 7/e Premium Edition with AddON Booklet FREE - One Nation NORCET Book on Nursing Officer / Staff Nurse Recruitment,MUTHUVENKATACHALAM S.,4.2 out of 5 stars,218,Paperback,"1,574.0",https://www.amazon.in/Target-High-Premium-AddON-Booklet/dp/9394525203/ref=zg_bs_g_4149418031_d_sccl_8/000-0000000-0000000?psc=1,NA
Trading Chart Pattern Book In Hindi | Includes Candlestick & Breakout Patterns | Indicators & Risk Management |,Jagannath Patait,4.0 out of 5 stars,372,Paperback,149.0,https://www.amazon.in/Candlestick-Breakout-Patterns-Indicators-Management/dp/B0BZ5LQFKP/ref=zg_bs_g_4149418031_d_sccl_9/000-0000000-0000000?psc=1,NA
"Trading Chart Pattern Book | Includes Candlestick Patterns, Breakout Patterns with Explaination",Pramesh Universal India,4.2 out of 5 stars,"1,378",Paperback,188.0,https://www.amazon.in/Trading-Pattern-Breakout-Candlestick-Complete/dp/B0B5S7XBVR/ref=zg_bs_g_4149418031_d_sccl_10/000-0000000-0000000?psc=1,NA
