Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
உத்தரவின்றி உள்ளே வந்த வெண்ணிலவே!! (Tamil Edition),உத்ரா சித்தார்த்,4.4 out of 5 stars,15,Kindle Edition,250.0,https://www.amazon.in/%E0%AE%89%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D%E0%AE%B1%E0%AE%BF-%E0%AE%89%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%87-%E0%AE%B5%E0%AE%A8%E0%AF%8D%E0%AE%A4-%E0%AE%B5%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BF%E0%AE%B2%E0%AE%B5%E0%AF%87-Tamil-ebook/dp/B0CW1NM5JL/ref=zg_bs_g_1318164031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/%E0%AE%89%E0%AE%A4%E0%AF%8D%E0%AE%B0%E0%AE%BE-%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D/e/B0861BZ83T/ref=zg_bs_g_1318164031_d_sccl_1_bl/000-0000000-0000000
Manivizhigal Pesum Mounamozhi (மணிவிழிகள் பேசும் மௌனமொழி),JI YA,4.2 out of 5 stars,104,Kindle Edition,380.0,https://www.amazon.in/Manivizhigal-Mounamozhi-%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%B5%E0%AE%BF%E0%AE%B4%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D-%E0%AE%AA%E0%AF%87%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AF%8C%E0%AE%A9%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF-ebook/dp/B0CW1FVP8G/ref=zg_bs_g_1318164031_d_sccl_2/000-0000000-0000000?psc=1,NA
என்னை ஆளும் வர்மனே..: PS NOVELS (Tamil Edition),P S,3.3 out of 5 stars,3,Kindle Edition,399.0,https://www.amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88-%E0%AE%86%E0%AE%B3%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%B5%E0%AE%B0%E0%AF%8D%E0%AE%AE%E0%AE%A9%E0%AF%87-NOVELS-Tamil-ebook/dp/B0CW1H3HZK/ref=zg_bs_g_1318164031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/P-S/e/B0C16BDH2P/ref=zg_bs_g_1318164031_d_sccl_3_bl/000-0000000-0000000
Married in Hate: An Enemies to Lovers Billionaire Romance (Dynasty Rebels Book 1),Shilpa Suraj,4.6 out of 5 stars,64,Kindle Edition,199.0,https://www.amazon.in/Married-Hate-Enemies-Billionaire-Romance-ebook/dp/B0CRYYQRHV/ref=zg_bs_g_1318164031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Shilpa-Suraj/e/B0867KTR86/ref=zg_bs_g_1318164031_d_sccl_4_bl/000-0000000-0000000
The Secret Fiancée: Lexington and Raya's Story (The Windsors),Catharina Maura,4.5 out of 5 stars,"4,344",Kindle Edition,449.0,https://www.amazon.in/Secret-Fianc%C3%A9e-Lexington-Rayas-Windsors-ebook/dp/B0CJDPTB3V/ref=zg_bs_g_1318164031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Catharina-Maura/e/B089B5CTHW/ref=zg_bs_g_1318164031_d_sccl_5_bl/000-0000000-0000000
The Hidden Hindu,Akshat Gupta,4.4 out of 5 stars,"3,448",Paperback,159.0,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_1318164031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318164031_d_sccl_6_bl/000-0000000-0000000
Agaya panthalileh: ஆகாயப் பந்தலிலே (Tamil Edition),S M Eshwari S M ஈஸ்வரி,4.5 out of 5 stars,47,Kindle Edition,360.0,https://www.amazon.in/Agaya-panthalileh-%E0%AE%86%E0%AE%95%E0%AE%BE%E0%AE%AF%E0%AE%AA%E0%AF%8D-%E0%AE%AA%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%B2%E0%AE%BF%E0%AE%B2%E0%AF%87-Tamil-ebook/dp/B0CW1GBZ5Q/ref=zg_bs_g_1318164031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/S-M-Eshwari-S-M-%E0%AE%88%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%B0%E0%AE%BF/e/B0BNXW7W98/ref=zg_bs_g_1318164031_d_sccl_7_bl/000-0000000-0000000
Pretty Rings and Broken Things: A Billionaire Arranged Marriage Romance (Black Tie Billionaires),Kat Singleton,4.3 out of 5 stars,"2,983",Kindle Edition,449.0,https://www.amazon.in/Pretty-Rings-Broken-Things-Billionaires-ebook/dp/B0CJ7H631V/ref=zg_bs_g_1318164031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Kat-Singleton/e/B085LWBTC9/ref=zg_bs_g_1318164031_d_sccl_8_bl/000-0000000-0000000
The Hidden Hindu Book 3,Akshat Gupta,4.6 out of 5 stars,"1,525",Paperback,216.0,https://www.amazon.in/Hidden-Hindu-Book-3/dp/0143456555/ref=zg_bs_g_1318164031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318164031_d_sccl_9_bl/000-0000000-0000000
The Forty Rules of Love,Elif Shafak,4.6 out of 5 stars,"15,642",Paperback,327.0,https://www.amazon.in/Forty-Rules-Love-Elif-Shafak/dp/0241972930/ref=zg_bs_g_1318164031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Elif-Shafak/e/B001IO8CHK/ref=zg_bs_g_1318164031_d_sccl_10_bl/000-0000000-0000000
