Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Waiting for Shiva: Unearthing the Truth of Kashi’s Gyan Vapi,Vikram Sampath,5.0 out of 5 stars,2,Hardcover,454.0,https://www.amazon.in/Waiting-Shiva-Unearthing-Truth-Kashis/dp/B0CPVSW5HG/ref=zg_bs_g_4149493031_d_sccl_1/000-0000000-0000000?psc=1,NA
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,"5,161",Hardcover,199.0,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_4149493031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_4149493031_d_sccl_2_bl/000-0000000-0000000
Why Bharat Matters,S. Jaishankar,4.6 out of 5 stars,320,Hardcover,556.0,https://www.amazon.in/Why-Bharat-Matters-S-Jaishankar/dp/9357027602/ref=zg_bs_g_4149493031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/S-Jaishankar/e/B08F2SV2BD/ref=zg_bs_g_4149493031_d_sccl_3_bl/000-0000000-0000000
Meditations,Marcus Aurelius,4.3 out of 5 stars,"3,211",Paperback,139.0,https://www.amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_4149493031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Marcus-Aurelius/e/B000AR7YUW/ref=zg_bs_g_4149493031_d_sccl_4_bl/000-0000000-0000000
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,4.5 out of 5 stars,"84,597",Paperback,206.0,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_4149493031_d_sccl_5/000-0000000-0000000?psc=1,NA
Sapiens : THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,4.7 out of 5 stars,"117,914",Paperback,464.3,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_4149493031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_g_4149493031_d_sccl_6_bl/000-0000000-0000000
Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Murty Sudha,4.6 out of 5 stars,"6,756",Paperback,163.0,https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=zg_bs_g_4149493031_d_sccl_7/000-0000000-0000000?psc=1,NA
The Bhagwat Gita : Symphony of the Spirit (Hindi),RR Varma,4.5 out of 5 stars,"1,931",Paperback,239.0,https://www.amazon.in/Bhagwat-Gita-Hindi-Symphony-Spirit/dp/8172345453/ref=zg_bs_g_4149493031_d_sccl_8/000-0000000-0000000?psc=1,NA
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,4.6 out of 5 stars,"25,211",Paperback,206.0,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_4149493031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Mitch-Albom/e/B000AQ79EY/ref=zg_bs_g_4149493031_d_sccl_9_bl/000-0000000-0000000
The Diary of A Young Girl,Anne Frank,4.5 out of 5 stars,"46,381",Paperback,137.0,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194/ref=zg_bs_g_4149493031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Anne-Frank/e/B000AQ51EY/ref=zg_bs_g_4149493031_d_sccl_10_bl/000-0000000-0000000
Autobiography of A Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"11,246",Paperback,159.0,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8172345364/ref=zg_bs_g_4149493031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Paramahansa-Yogananda/e/B00KC1KO80/ref=zg_bs_g_4149493031_d_sccl_11_bl/000-0000000-0000000
Sapiens,Yuval Noah Harari,4.7 out of 5 stars,"117,914",Audible Audiobook,957.0,https://www.amazon.in/Sapiens/dp/B079C1B3H6/ref=zg_bs_g_4149493031_d_sccl_12/000-0000000-0000000?psc=1,NA
