Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
A Man Called Ove,Fredrik Backman,4.6 out of 5 stars,"175,887",Paperback,255.0,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812/ref=zg_bs_g_1318143031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Fredrik-Backman/e/B00KV5TN4I/ref=zg_bs_g_1318143031_d_sccl_1_bl/000-0000000-0000000
Story Book- 101 Panchatantra Stories ( Ilustrated stories for children from Ancient India),Om Books Editorial Team,4.5 out of 5 stars,"8,693",Paperback,191.0,https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_g_1318143031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Om-Books-Editorial-Team/e/B0811S8QJJ/ref=zg_bs_g_1318143031_d_sccl_2_bl/000-0000000-0000000
The Illustrated Stories of Akbar and Birbal: Classic Tales From India,Wonder House Books,4.6 out of 5 stars,"2,909",Hardcover,199.0,https://www.amazon.in/Illustrated-Stories-Akbar-Birbal-Classic/dp/9389567831/ref=zg_bs_g_1318143031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318143031_d_sccl_3_bl/000-0000000-0000000
101 Witty Stories of Akbar and Birbal - Collection of Humorous Stories For Kids,Wonder House Books,4.6 out of 5 stars,"1,531",Hardcover,398.0,https://www.amazon.in/101-Witty-Stories-Akbar-Birbal/dp/9390391709/ref=zg_bs_g_1318143031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_1318143031_d_sccl_4_bl/000-0000000-0000000
Anxious People,Fredrik Backman,4.5 out of 5 stars,"66,827",Paperback,358.0,https://www.amazon.in/Anxious-People-bestseller-author-Called/dp/140593025X/ref=zg_bs_g_1318143031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Fredrik-Backman/e/B00KV5TN4I/ref=zg_bs_g_1318143031_d_sccl_5_bl/000-0000000-0000000
A Nation of Idiots,Daksh Tyagi,4.1 out of 5 stars,488,Paperback,399.0,https://www.amazon.in/Nation-Idiots-Daksh-Tyagi/dp/8194275016/ref=zg_bs_g_1318143031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Daksh-Tyagi/e/B09B65HDGS/ref=zg_bs_g_1318143031_d_sccl_6_bl/000-0000000-0000000
Everything I Know About Love : Now a Major BBC One Series,Dolly Alderton,4.4 out of 5 stars,"24,729",Paperback,404.0,https://www.amazon.in/Everything-I-Know-About-Love/dp/0241982103/ref=zg_bs_g_1318143031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Dolly-Alderton/e/B077QDGH6F/ref=zg_bs_g_1318143031_d_sccl_7_bl/000-0000000-0000000
Maun Muskaan Ki Maar | मौन मुस्कान की मार,Ashutosh Rana,4.4 out of 5 stars,"1,643",Paperback,154.0,https://www.amazon.in/Maun-Muskaan-Maar-Ashutosh-Rana/dp/9352669827/ref=zg_bs_g_1318143031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Ashutosh-Rana/e/B0843CMW6W/ref=zg_bs_g_1318143031_d_sccl_8_bl/000-0000000-0000000
CLEOPATRA AND FRANKENSTEIN,Coco Mellors,4.3 out of 5 stars,"5,897",Paperback,324.0,https://www.amazon.in/Cleopatra-Frankenstein-Coco-Mellors/dp/0008608512/ref=zg_bs_g_1318143031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Coco-Mellors/e/B097FCT9VP/ref=zg_bs_g_1318143031_d_sccl_9_bl/000-0000000-0000000
TINKLE DIGEST 1,ANANT PAI,4.4 out of 5 stars,949,Kindle Edition,55.6,https://www.amazon.in/TINKLE-DIGEST-1-ANANT-PAI-ebook/dp/B0758FSVW5/ref=zg_bs_g_1318143031_d_sccl_10/000-0000000-0000000?psc=1,NA
TINKLE DOUBLE DIGEST 7,ANANT PAI,4.5 out of 5 stars,453,Kindle Edition,94.5,https://www.amazon.in/TINKLE-DOUBLE-DIGEST-ANANT-PAI-ebook/dp/B0758GBMY5/ref=zg_bs_g_1318143031_d_sccl_11/000-0000000-0000000?psc=1,NA
"The Great Indian Cricket Circus: Amazing Facts, Stats and Everything in Between",Joy Bhattacharjya,4.6 out of 5 stars,41,Paperback,389.0,https://www.amazon.in/Great-Indian-Cricket-Circus-Everything/dp/9356991154/ref=zg_bs_g_1318143031_d_sccl_12/000-0000000-0000000?psc=1,NA
