Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,4.5 out of 5 stars,"88,338",Paperback,89.0,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_g_1318144031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Dale-Carnegie/e/B00OIFV2S2/ref=zg_bs_g_1318144031_d_sccl_1_bl/000-0000000-0000000
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"14,877",Board book,799.0,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_1318144031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_1318144031_d_sccl_2_bl/000-0000000-0000000
NEETU SINGH ENGLISH FOR GENERAL COMPETITIONS VOL - 1 IN ENGLISH NEW 2023 EDITION,NEETU SINGH,4.2 out of 5 stars,239,Paperback,353.0,https://www.amazon.in/NEETU-SINGH-ENGLISH-GENERAL-COMPETITIONS/dp/B0C7MT7GLB/ref=zg_bs_g_1318144031_d_sccl_3/000-0000000-0000000?psc=1,NA
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4 out of 5 stars,"4,478",Paperback,109.0,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_g_1318144031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Roger-Fritz/e/B001JJ44M6/ref=zg_bs_g_1318144031_d_sccl_4_bl/000-0000000-0000000
High School English Gram & Comp (Reg Ed),"Rao N,D,V,Prasada",4.4 out of 5 stars,"12,351",Paperback,280.0,https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_g_1318144031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Rao-NDVPrasada/e/B00JQ0LJIC/ref=zg_bs_g_1318144031_d_sccl_5_bl/000-0000000-0000000
5000 + Daily Use English Sentences | Kanchan Keshari,Kanchan Keshari,4.2 out of 5 stars,"1,162",Paperback,280.0,https://www.amazon.in/Daily-English-Sentences-Kanchan-Keshari/dp/9394200509/ref=zg_bs_g_1318144031_d_sccl_6/000-0000000-0000000?psc=1,NA
Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,4.4 out of 5 stars,"18,335",Paperback,101.0,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_g_1318144031_d_sccl_7/000-0000000-0000000?psc=1,NA
My First Little Librarian: Boxset of 12 Best Board Books for Kids,THE BOOK TREE,4.5 out of 5 stars,"5,010",Board book,397.0,https://www.amazon.in/My-First-Little-Librarian-Boxset/dp/B08MLC2GD6/ref=zg_bs_g_1318144031_d_sccl_8/000-0000000-0000000?psc=1,NA
Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India ,K.J.S. Dhillon,4.7 out of 5 stars,"1,531",Hardcover,414.0,https://www.amazon.in/Kitne-Ghazi-Aye-Gaye-Sacrifice/dp/0670097055/ref=zg_bs_g_1318144031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/K-J-S-Dhillon/e/B0BSR6F1TX/ref=zg_bs_g_1318144031_d_sccl_9_bl/000-0000000-0000000
Oxford Pocket English Dictionary - 11th Edition | For Everyday Use | 2 Billion + Words,Oxford Dictionaries,4.5 out of 5 stars,"3,660",Hardcover,384.0,https://www.amazon.in/Pocket-Oxford-English-Dictionary-Dictionaries/dp/0198700989/ref=zg_bs_g_1318144031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Oxford-Dictionaries/e/B00IXHXX3I/ref=zg_bs_g_1318144031_d_sccl_10_bl/000-0000000-0000000
