Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,"2,471",Paperback,97.0,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_4149542031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Norman-Lewis/e/B000APT9WU/ref=zg_bs_g_4149542031_d_sccl_1_bl/000-0000000-0000000
Taxmann’s New Criminal Laws Combo – Bharatiya Nyaya Sanhita 2023 (BNS) | Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) | Bha,Taxmann,4.2 out of 5 stars,62,Paperback,657.0,https://www.amazon.in/Taxmanns-New-Criminal-Laws-Combo/dp/B0CQYNHSBX/ref=zg_bs_g_4149542031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Taxmann/e/B08151K8VD/ref=zg_bs_g_4149542031_d_sccl_2_bl/000-0000000-0000000
"Unsealed Covers: A Decade of the Constitution, the Courts and the State",Gautam Bhatia,4.5 out of 5 stars,42,Paperback,454.0,https://www.amazon.in/Unsealed-Covers-Decade-Constitution-Courts/dp/9356993637/ref=zg_bs_g_4149542031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Gautam-Bhatia/e/B0190HAR5G/ref=zg_bs_g_4149542031_d_sccl_3_bl/000-0000000-0000000
Taxmann's New Criminal Major Acts (BNS | BNSS | BSA) – Transition to the New Criminal Laws with Comparative Analysis | Sectio,Taxmann,4.1 out of 5 stars,25,Hardcover,795.0,https://www.amazon.in/Taxmanns-Criminal-Major-Acts-BNSS/dp/9357785612/ref=zg_bs_g_4149542031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Taxmann/e/B08151K8VD/ref=zg_bs_g_4149542031_d_sccl_4_bl/000-0000000-0000000
"PROFESSIONAL'S New Criminal Laws Criminal Manual containing Bharatiya Nagarik Suraksha Sanhita, 2023(BNSS), Bharatiya Nyaya S",Professional's,4.4 out of 5 stars,18,Hardcover,460.0,https://www.amazon.in/PROFESSIONALS-Criminal-containing-Bharatiya-Adhiniyam/dp/B0CRWD7KCW/ref=zg_bs_g_4149542031_d_sccl_5/000-0000000-0000000?psc=1,NA
"India & World Map ( Both Political & Physical ) with Constitution of India , Indian History , Indian Economy & Geographical T",Hivex Publication,4.6 out of 5 stars,"1,877",Product Bundle,179.0,https://www.amazon.in/Political-Physical-Constitution-History-Geography/dp/B09FYDRDM8/ref=zg_bs_g_4149542031_d_sccl_6/000-0000000-0000000?psc=1,NA
"Important Judgments of Supreme Court for UPSC, State Service and Other Competitive Examination in Hindi",IAS (Retd.) Dr. Pramod Kumar Agrawal,4.2 out of 5 stars,29,Paperback,162.0,https://www.amazon.in/Important-Judgments-Supreme-Competitive-Examination/dp/9355216408/ref=zg_bs_g_4149542031_d_sccl_7/000-0000000-0000000?psc=1,NA
"Professional's New Criminal Laws Combo: Bharatiya Nagarik Suraksha Sanhita, 2023 (BNSS), Bharatiya Nyaya Sanhita, 2023 (BNS),",Professional's,5.0 out of 5 stars,6,Perfect Paperback,490.0,https://www.amazon.in/Professionals-New-Criminal-Laws-Combo/dp/B0CRR125R8/ref=zg_bs_g_4149542031_d_sccl_8/000-0000000-0000000?psc=1,NA
"NISM's Research Analyst – Comprehensive guide covering vital topics for company research, including market basics, industry d",NISM (An Educational Initiative of SEBI),4.1 out of 5 stars,38,Paperback,499.0,https://www.amazon.in/NISMs-Research-Analyst-Comprehensive-fundamentals/dp/9357782974/ref=zg_bs_g_4149542031_d_sccl_9/000-0000000-0000000?psc=1,NA
"Constitution of India Bare Act by Professional's as amended by Constitution (One Hundred & Sixth Amendment) Act, 2023",Professional's,4.5 out of 5 stars,47,Perfect Paperback,150.0,https://www.amazon.in/Constitution-Professionals-amended-Hundred-Amendment/dp/B0CKKD5Z75/ref=zg_bs_g_4149542031_d_sccl_10/000-0000000-0000000?psc=1,NA
