Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Target High 7/e Premium Edition with AddON Booklet FREE - One Nation NORCET Book on Nursing Officer / Staff Nurse Recruitment,MUTHUVENKATACHALAM S.,4.2 out of 5 stars,218,Paperback,"1,574.0",https://www.amazon.in/Target-High-Premium-AddON-Booklet/dp/9394525203/ref=zg_bs_g_4149549031_d_sccl_1/000-0000000-0000000?psc=1,NA
"Diary Of A Wimpy Kid: No Brainer (Book 18) (Diary of a Wimpy Kid, 18)",Jeff Kinney,4.6 out of 5 stars,"5,822",Hardcover,392.0,https://www.amazon.in/Diary-Wimpy-Kid-Brainer-Book/dp/0241583136/ref=zg_bs_g_4149549031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Jeff-Kinney/e/B001J93AUI/ref=zg_bs_g_4149549031_d_sccl_2_bl/000-0000000-0000000
Behave : The bestselling exploration of why humans behave as they do,Robert M Sapolsky,4.5 out of 5 stars,"7,619",Paperback,475.0,https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_g_4149549031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-M-Sapolsky/e/B000APOCFE/ref=zg_bs_g_4149549031_d_sccl_3_bl/000-0000000-0000000
First Aid for the USMLE Step 1 2023 With PATHOMA 2023 FREE (Pack Of 2 Books),Matthew Sochat,4.4 out of 5 stars,71,Paperback,"1,500.0",https://www.amazon.in/First-USMLE-Step-PATHOMA-Books/dp/B0CCPRZ723/ref=zg_bs_g_4149549031_d_sccl_4/000-0000000-0000000?psc=1,NA
Dr Cuterus: Everything Nobody Tells You: Everything Nobody Tells You About Your Body,Dr Tanaya Narendra,4.7 out of 5 stars,632,Paperback,184.0,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_g_4149549031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Dr-Tanaya-Narendra/e/B0BP67JP94/ref=zg_bs_g_4149549031_d_sccl_5_bl/000-0000000-0000000
VIAGRA 100MG FOR MEN / पुरुषों के लिए वियाग्रा 100MG,Barid Ulla,2.8 out of 5 stars,54,Paperback,206.0,https://www.amazon.in/VIAGRA-100MG-MEN-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B5%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A4%BE/dp/B0BWYH9H1N/ref=zg_bs_g_4149549031_d_sccl_6/000-0000000-0000000?psc=1,NA
The Diary of a CEO : The 33 Laws of Business and Life,Steven Bartlett,4.6 out of 5 stars,"1,591",Paperback,463.0,https://www.amazon.in/Diary-CEO-Laws-Business-Life/dp/1529146518/ref=zg_bs_g_4149549031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Steven-Bartlett/e/B08599N8SB/ref=zg_bs_g_4149549031_d_sccl_7_bl/000-0000000-0000000
VIAGRA FOR MEN 100MG,Barid Ulla,3.1 out of 5 stars,112,Paperback,205.0,https://www.amazon.in/VIAGRA-MEN-100MG-Barid-Ulla/dp/B0BWMYBSZL/ref=zg_bs_g_4149549031_d_sccl_8/000-0000000-0000000?psc=1,NA
Ayurvedic Garbha Sanskar / Sampurna Ayurveda (Half Million+ Copies Sold) English Book by Dr. Balaji Tambe (Mother & Baby Care,Shree Balaji Tambe,4.4 out of 5 stars,"1,139",Hardcover,725.0,https://www.amazon.in/Ayurvedic-Garbha-Sanskar-English-Balaji/dp/9380571879/ref=zg_bs_g_4149549031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Shree-Balaji-Tambe/e/B0062F3BOE/ref=zg_bs_g_4149549031_d_sccl_9_bl/000-0000000-0000000
Hacking Health : The Only Book You’ll Ever Need to Live Your Healthiest Life,MUKESH BANSAL,4.6 out of 5 stars,448,Hardcover,254.0,https://www.amazon.in/Hacking-Health-Only-Youll-Healthiest/dp/0670097136/ref=zg_bs_g_4149549031_d_sccl_10/000-0000000-0000000?psc=1,NA
ONE Touch Obstetrics & Gynecology For NEET/NEXT/FMGE/INI-CET,Dr Sakshi Arora Hans,4.6 out of 5 stars,274,Paperback,461.0,https://www.amazon.in/Touch-Obstetrics-Gynecology-NEET-INI-CET/dp/9390619300/ref=zg_bs_g_4149549031_d_sccl_11/000-0000000-0000000?psc=1,NA
Dental Pulse 16th/2023 (4 Vols),NA,4.3 out of 5 stars,181,Paperback,"3,699.0",https://www.amazon.in/Dental-Pulse-16th-2023-Vols/dp/8194699029/ref=zg_bs_g_4149549031_d_sccl_12/000-0000000-0000000?psc=1,NA
ONE TOUCH MEDICINE for NEET/NEXT/FMGE/INI-CET - 2024,Dr Deepak Marwah,3.7 out of 5 stars,17,Paperback,361.0,https://www.amazon.in/TOUCH-MEDICINE-NEET-NEXT-INI-CET/dp/9390619890/ref=zg_bs_g_4149549031_d_sccl_13/000-0000000-0000000?psc=1,NA
This Book May Save Your Life: Everyday Health Hacks to Worry Less and Live Better,Dr Karan Rajan,4.8 out of 5 stars,350,Paperback,559.0,https://www.amazon.in/This-Book-Save-Your-Life/dp/1529916615/ref=zg_bs_g_4149549031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Dr-Karan-Rajan/e/B0CQT4RTBD/ref=zg_bs_g_4149549031_d_sccl_14_bl/000-0000000-0000000
GHAI Essential Pediatrics 10th Ed.,Vinod K Paul,4.6 out of 5 stars,128,Hardcover,"1,156.0",https://www.amazon.in/GHAI-Essential-Pediatrics-10th-Ed/dp/9354665071/ref=zg_bs_g_4149549031_d_sccl_15/000-0000000-0000000?psc=1,NA
FMGE SOLUTIONS 8th edition with FREE AddON Booklet For Foreign Medical Graduates Appearing for Indian Medical registration (S,Dr Deepak Marwah,4.4 out of 5 stars,73,Paperback,"1,934.0",https://www.amazon.in/SOLUTIONS-Booklet-Graduates-Appearing-registration/dp/9394525459/ref=zg_bs_g_4149549031_d_sccl_16/000-0000000-0000000?psc=1,NA
