Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Why Bharat Matters,S. Jaishankar,4.6 out of 5 stars,320,Hardcover,556.0,https://www.amazon.in/Why-Bharat-Matters-S-Jaishankar/dp/9357027602/ref=zg_bs_g_1318176031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/S-Jaishankar/e/B08F2SV2BD/ref=zg_bs_g_1318176031_d_sccl_1_bl/000-0000000-0000000
THE 48 LAWS OF POWER,Robert Greene,4.6 out of 5 stars,"19,527",Paperback,559.0,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318176031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318176031_d_sccl_2_bl/000-0000000-0000000
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,4.5 out of 5 stars,"84,597",Paperback,206.0,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318176031_d_sccl_3/000-0000000-0000000?psc=1,NA
India that is Bharat,J Sai Deepak,4.8 out of 5 stars,"7,110",Hardcover,602.0,https://www.amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_g_1318176031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/J-Sai-Deepak/e/B0996S8ZFF/ref=zg_bs_g_1318176031_d_sccl_4_bl/000-0000000-0000000
Arthashastra by Kautilya - A Masterpiece on Economic Policies | Ancient Indian Political Philosophy | Hindu Spiritual Wisdom ,KAUTILYA,4.5 out of 5 stars,"1,565",Paperback,226.0,https://www.amazon.in/Arthashastra-Kautilya/dp/9354403700/ref=zg_bs_g_1318176031_d_sccl_5/000-0000000-0000000?psc=1,NA
The Laws of Human Nature (Export TPB),Robert Greene,4.6 out of 5 stars,"9,904",Paperback,591.0,https://www.amazon.in/Laws-Human-Nature-Export-TPB/dp/1781259194/ref=zg_bs_g_1318176031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318176031_d_sccl_6_bl/000-0000000-0000000
All Religions Are Not The Same,Sanjay Dixit,4.9 out of 5 stars,180,Kindle Edition,149.0,https://www.amazon.in/All-Religions-Are-Not-Same-ebook/dp/B0CW19YSP9/ref=zg_bs_g_1318176031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Sanjay-Dixit/e/B07FZX12QC/ref=zg_bs_g_1318176031_d_sccl_7_bl/000-0000000-0000000
Hindus in Hindu Rashtra (Eighth-Class Citizens and Victims of State- Sanctioned Apartheid),Anand Ranganathan,4.8 out of 5 stars,"1,618",Hardcover,259.0,https://www.amazon.in/Rashtra-Eighth-Class-Citizens-Sanctioned-Apartheid/dp/9392209479/ref=zg_bs_g_1318176031_d_sccl_8/000-0000000-0000000?psc=1,NA
IGNITED MINDS,A P J  Abdul Kalam,4.6 out of 5 stars,"4,613",Paperback,135.0,https://www.amazon.in/IGNITED-MINDS-P-Abdul-Kalam/dp/0143424122/ref=zg_bs_g_1318176031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/A-P-J-Abdul-Kalam/e/B001H9RNS0/ref=zg_bs_g_1318176031_d_sccl_9_bl/000-0000000-0000000
1984,George Orwell,4.5 out of 5 stars,"124,831",Paperback,135.0,https://www.amazon.in/1984-George-Orwell/dp/9389053730/ref=zg_bs_g_1318176031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/George-Orwell/e/B000AQ0KKY/ref=zg_bs_g_1318176031_d_sccl_10_bl/000-0000000-0000000
"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6 out of 5 stars,"6,698",Paperback,96.0,https://www.amazon.in/Atheist-Other-Works-Bhagat-Singh/dp/9387022811/ref=zg_bs_g_1318176031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Bhagat-Singh/e/B001JOCYDC/ref=zg_bs_g_1318176031_d_sccl_11_bl/000-0000000-0000000
The India Way: Strategies for an Uncertain World,S. Jaishankar,4.6 out of 5 stars,"2,995",Paperback,430.0,https://www.amazon.in/India-Way-Strategies-Uncertain-World/dp/9394407219/ref=zg_bs_g_1318176031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/S-Jaishankar/e/B08F2SV2BD/ref=zg_bs_g_1318176031_d_sccl_12_bl/000-0000000-0000000
The Constitution of India (Deluxe Hardbound Edition),Various,4.5 out of 5 stars,76,Hardcover,377.2,https://www.amazon.in/Constitution-India-Deluxe-Hardbound/dp/9358560746/ref=zg_bs_g_1318176031_d_sccl_13/000-0000000-0000000?psc=1,NA
The Communist Manifesto,Karl Marx,4.4 out of 5 stars,"11,944",Paperback,98.0,https://www.amazon.in/Communist-Manifesto-Karl-Marx/dp/9386538253/ref=zg_bs_g_1318176031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Karl-Marx/e/B000APMKRQ/ref=zg_bs_g_1318176031_d_sccl_14_bl/000-0000000-0000000
Start With Why,SINEK SIMON,4.5 out of 5 stars,"22,647",Paperback,393.0,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/0241958229/ref=zg_bs_g_1318176031_d_sccl_15/000-0000000-0000000?psc=1,NA
How Prime Ministers Decide,Neerja Chowdhury,4.4 out of 5 stars,230,Hardcover,730.0,https://www.amazon.in/Prime-Ministers-Decide-Neerja-Chowdhury/dp/9390652456/ref=zg_bs_g_1318176031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Neerja-Chowdhury/e/B0CCQX381N/ref=zg_bs_g_1318176031_d_sccl_16_bl/000-0000000-0000000
"The Room on the Roof: An award-winning novel by Ruskin Bond, first book in the famous Rusty series, a must-read illustrated c",Ruskin Bond,4.6 out of 5 stars,"3,280",Paperback,162.0,https://www.amazon.in/Room-Roof-Ruskin-Bond/dp/0143333380/ref=zg_bs_g_1318176031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Ruskin-Bond/e/B01D2X1L8G/ref=zg_bs_g_1318176031_d_sccl_17_bl/000-0000000-0000000
The 48 Laws Of Power (The Modern Machiavellian Robert Greene Book 1),Robert Greene,4.6 out of 5 stars,"19,527",Kindle Edition,198.5,https://www.amazon.in/Laws-Power-Robert-Greene-Collection-ebook/dp/B0041G68Z0/ref=zg_bs_g_1318176031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318176031_d_sccl_18_bl/000-0000000-0000000
"India, Bharat and Pakistan",J Sai Deepak,4.8 out of 5 stars,"1,562",Hardcover,530.0,https://www.amazon.in/India-Bharat-Pakistan-Constitutional-Civilisation/dp/9354353010/ref=zg_bs_g_1318176031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/J-Sai-Deepak/e/B0996S8ZFF/ref=zg_bs_g_1318176031_d_sccl_19_bl/000-0000000-0000000
The Revenge of Geography,Robert D. Kaplan,4.4 out of 5 stars,"1,297",Paperback,464.0,https://www.amazon.in/Revenge-Geography-Coming-Conflicts-Against/dp/0812982223/ref=zg_bs_g_1318176031_d_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-D-Kaplan/e/B000APBESC/ref=zg_bs_g_1318176031_d_sccl_20_bl/000-0000000-0000000
The Laws of Human Nature: Robert Greene,Robert Greene,4.6 out of 5 stars,"9,904",Kindle Edition,284.0,https://www.amazon.in/Laws-Human-Nature-Robert-Greene-ebook/dp/B07C87SQ53/ref=zg_bs_g_1318176031_d_sccl_21/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318176031_d_sccl_21_bl/000-0000000-0000000
WHY BHARAT MATTERS,S. JAISHANKAR,4.6 out of 5 stars,320,Kindle Edition,474.0,https://www.amazon.in/WHY-BHARAT-MATTERS-S-JAISHANKAR-ebook/dp/B0CQHJCVSQ/ref=zg_bs_g_1318176031_d_sccl_22/000-0000000-0000000?psc=1,NA
Why Bharat Matters Books By S Jaishankar Hardcover Original,Why Bharat Matters,4.6 out of 5 stars,320,Paperback,499.0,https://www.amazon.in/Bharat-Matters-Jaishankar-Hardcover-Original/dp/B0CVV8BZ4H/ref=zg_bs_g_1318176031_d_sccl_23/000-0000000-0000000?psc=1,NA
Bravehearts of Bharat: Vignettes from In: Vignettes from Indian History,Vikram Sampath,4.7 out of 5 stars,623,Hardcover,520.0,https://www.amazon.in/Bravehearts-Bharat-Vignettes-Indian-History/dp/0670094684/ref=zg_bs_g_1318176031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Vikram-Sampath/e/B001JOQDA2/ref=zg_bs_g_1318176031_d_sccl_24_bl/000-0000000-0000000
"Homo Deus: A Brief History of Tomorrow Harari, Yuval Noah",Yuval Noah Harari,4.6 out of 5 stars,"31,696",Paperback,399.0,https://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931/ref=zg_bs_g_1318176031_d_sccl_25/000-0000000-0000000?psc=1,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_g_1318176031_d_sccl_25_bl/000-0000000-0000000
Breaking the Mould: Reimagining India's Economic Future,Raghuram Rajan,4.6 out of 5 stars,187,Audible Audiobook,879.0,https://www.amazon.in/Breaking-Mould-Reimagining-Indias-Economic/dp/B0CQ5KPLFZ/ref=zg_bs_g_1318176031_d_sccl_26/000-0000000-0000000?psc=1,NA
Nationalism,Rabindranath Tagore,4.5 out of 5 stars,"7,545",Paperback,92.0,https://www.amazon.in/Nationalism-Rabindranath-Tagore/dp/8175993103/ref=zg_bs_g_1318176031_d_sccl_27/000-0000000-0000000?psc=1,https://www.amazon.in/Rabindranath-Tagore/e/B000APX8WC/ref=zg_bs_g_1318176031_d_sccl_27_bl/000-0000000-0000000
MY JOURNEY - TRANSFORMING DREAMS INTO ACTIONS,A.P.J. Abdul Kalam,4.6 out of 5 stars,"5,510",Paperback,147.1,https://www.amazon.in/MY-JOURNEY-TRANSFORMING-DREAMS-ACTIONS/dp/8129124912/ref=zg_bs_g_1318176031_d_sccl_28/000-0000000-0000000?psc=1,https://www.amazon.in/A-P-J-Abdul-Kalam/e/B001H9RNS0/ref=zg_bs_g_1318176031_d_sccl_28_bl/000-0000000-0000000
Prisoners of Geography,Tim Marshall,4.6 out of 5 stars,"18,597",Paperback,612.0,https://www.amazon.in/Prisoners-Geography-Everything-Global-Politics/dp/1783962437/ref=zg_bs_g_1318176031_d_sccl_29/000-0000000-0000000?psc=1,https://www.amazon.in/Tim-Marshall/e/B00LKZ4QKE/ref=zg_bs_g_1318176031_d_sccl_29_bl/000-0000000-0000000
India Way,S. Jaishankar,4.6 out of 5 stars,"2,995",Hardcover,549.0,https://www.amazon.in/India-Way-Strategies-Uncertain-World/dp/9353579791/ref=zg_bs_g_1318176031_d_sccl_30/000-0000000-0000000?psc=1,https://www.amazon.in/S-Jaishankar/e/B08F2SV2BD/ref=zg_bs_g_1318176031_d_sccl_30_bl/000-0000000-0000000
"We, The Citizens : Strengthening the Indian Republic",Khyati Pathak,5.0 out of 5 stars,2,Paperback,344.0,https://www.amazon.in/We-Citizens-Strengthening-Indian-Republic/dp/0143463551/ref=zg_bs_g_1318176031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Khyati-Pathak/e/B0CW57YRCP/ref=zg_bs_g_1318176031_d_sccl_1_bl/000-0000000-0000000
India Since Independence [Paperback] Bipan Chandra,"A. Chandra,Bipin, Mukherjee,M.&Mukherjee",4.5 out of 5 stars,"3,354",Paperback,280.0,https://www.amazon.in/India-Since-Independence-Bipan-Chandra/dp/0143104098/ref=zg_bs_g_1318176031_d_sccl_2/000-0000000-0000000?psc=1,NA
The Politics,Aristotle,4.5 out of 5 stars,"2,079",Paperback,119.0,https://www.amazon.in/Politics-Aristotle/dp/9389931266/ref=zg_bs_g_1318176031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Aristotle/e/B000AQ4LM2/ref=zg_bs_g_1318176031_d_sccl_3_bl/000-0000000-0000000
21 Lessons for the 21st Century : 'Truly mind-expanding... Ultra-topical' Guardian,Yuval Noah Harari,4.6 out of 5 stars,"17,293",Paperback,416.0,https://www.amazon.in/Lessons-21st-Century-Yuval-Harari/dp/1784708283/ref=zg_bs_g_1318176031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_g_1318176031_d_sccl_4_bl/000-0000000-0000000
Becoming: The Sunday Times Number One Bestseller,Michelle Obama,4.6 out of 5 stars,"110,876",Paperback,464.3,https://www.amazon.in/Becoming-Sunday-Times-Number-Bestseller/dp/0241982979/ref=zg_bs_g_1318176031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Michelle-Obama/e/B07B436TLF/ref=zg_bs_g_1318176031_d_sccl_5_bl/000-0000000-0000000
The Wealth of Nations,Adam Smith,4.5 out of 5 stars,"2,058",Paperback,459.0,https://www.amazon.in/Wealth-Nations-Adam-Smith/dp/9387779467/ref=zg_bs_g_1318176031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Adam-Smith/e/B000APTFBA/ref=zg_bs_g_1318176031_d_sccl_6_bl/000-0000000-0000000
Start with Why: How Great Leaders Inspire Everyone To Take Action,Simon Sinek,4.5 out of 5 stars,"22,647",Audible Audiobook,888.0,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/B09J5HCBKT/ref=zg_bs_g_1318176031_d_sccl_7/000-0000000-0000000?psc=1,NA
Smoke and Ashes: A Writer's Journey through Opium's Hidden Histories,Amitav Ghosh,4.6 out of 5 stars,199,Hardcover,449.0,https://www.amazon.in/Smoke-Ashes-Writers-Journey-Histories/dp/9356992754/ref=zg_bs_g_1318176031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Amitav-Ghosh/e/B00MI3ASCC/ref=zg_bs_g_1318176031_d_sccl_8_bl/000-0000000-0000000
Annihilation of Caste,B. Ambedkar,4.6 out of 5 stars,136,Paperback,111.0,https://www.amazon.in/Annihilation-Caste-B-Ambedkar/dp/9358560770/ref=zg_bs_g_1318176031_d_sccl_9/000-0000000-0000000?psc=1,NA
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"84,597",Kindle Edition,154.8,https://www.amazon.in/Mans-Search-Meaning-classic-Holocaust-ebook/dp/B00EKOC0HI/ref=zg_bs_g_1318176031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Viktor-E-Frankl/e/B000APVZJU/ref=zg_bs_g_1318176031_d_sccl_10_bl/000-0000000-0000000
"Savarkar: Echoes from a Forgotten Past,",Vikram Sampath,4.8 out of 5 stars,"2,292",Hardcover,696.0,https://www.amazon.in/Savarkar-Echoes-Forgotten-Past-1883-1924/dp/0670090301/ref=zg_bs_g_1318176031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Vikram-Sampath/e/B001JOQDA2/ref=zg_bs_g_1318176031_d_sccl_11_bl/000-0000000-0000000
Anger Management: The Troubled Diplomatic Relationship between India and Pakistan,Ajay Bisaria,4.1 out of 5 stars,27,Hardcover,698.0,https://www.amazon.in/Anger-Management-Troubled-Diplomatic-Relationship/dp/9393852758/ref=zg_bs_g_1318176031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Ajay-Bisaria/e/B0CRFYBQ1H/ref=zg_bs_g_1318176031_d_sccl_12_bl/000-0000000-0000000
Bose: The Untold Story of an Inconvenien,NA,4.8 out of 5 stars,813,Hardcover,573.0,https://www.amazon.in/Bose-Inconvenient-Nationalist-Chandra-Biography/dp/0670096008/ref=zg_bs_g_1318176031_d_sccl_13/000-0000000-0000000?psc=1,NA
