Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Ikigai,Francesc Miralles,4.6 out of 5 stars,"53,158",Hardcover,358.0,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_1318188031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Francesc-Miralles/e/B0892RZTY1/ref=zg_bs_g_1318188031_d_sccl_1_bl/000-0000000-0000000
Bhagavad Gita Made Very Easy: Read & Understand Complete Bhagavad Gita in Short Time,Kishan Barai,4.1 out of 5 stars,"1,670",Kindle Edition,99.0,https://www.amazon.in/Bhagavad-Gita-Made-Very-Easy-ebook/dp/B01LW997GO/ref=zg_bs_g_1318188031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Kishan-Barai/e/B00ZX0TGCA/ref=zg_bs_g_1318188031_d_sccl_2_bl/000-0000000-0000000
Shlokas and Mantras - Activity Book For Kids - Illustrated Book With Engaging Activities and Sticker Sheets,Wonder House Books,4.7 out of 5 stars,694,Hardcover,149.0,https://www.amazon.in/Shlokas-Mantras-Activity-Illustrated-Activities/dp/935440524X/ref=zg_bs_g_1318188031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_1318188031_d_sccl_3_bl/000-0000000-0000000
Shrimad Bhagwat Geeta Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"18,947",Hardcover,200.0,https://www.amazon.in/Shrimad-Bhagwat-Geeta-Yatharoop-Hindi/dp/938598618X/ref=zg_bs_g_1318188031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/A-C-Bhaktivendanta-Swami-Prabhupada/e/B0BYGR4RHY/ref=zg_bs_g_1318188031_d_sccl_4_bl/000-0000000-0000000
The Hidden Hindu,Akshat Gupta,4.4 out of 5 stars,"3,448",Paperback,159.0,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_1318188031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Akshat-Gupta/e/B08KY7Y2YC/ref=zg_bs_g_1318188031_d_sccl_5_bl/000-0000000-0000000
THE 48 LAWS OF POWER,Robert Greene,4.6 out of 5 stars,"19,527",Paperback,559.0,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318188031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318188031_d_sccl_6_bl/000-0000000-0000000
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6 out of 5 stars,"53,158",Audible Audiobook,615.0,https://www.amazon.in/Ikigai-Japanese-Secret-Long-Happy/dp/B0759S1XZQ/ref=zg_bs_g_1318188031_d_sccl_7/000-0000000-0000000?psc=1,NA
Pain: A Portal To Enlightenment,Shweta Singh Kirti,4.9 out of 5 stars,35,Paperback,275.0,https://www.amazon.in/Pain-Enlightenment-Shweta-Singh-Kirti/dp/0143461362/ref=zg_bs_g_1318188031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Shweta-Singh-Kirti/e/B0CN1GVGB7/ref=zg_bs_g_1318188031_d_sccl_8_bl/000-0000000-0000000
"Energize Your Mind : Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.6 out of 5 stars,"3,373",Paperback,210.0,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_1318188031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Gaur-Gopal-Das/e/B07JNGPMHX/ref=zg_bs_g_1318188031_d_sccl_9_bl/000-0000000-0000000
Shlokas and Mantras For Kids – English/Sanskrit | Illustrated Board Book for Children with Clear Text | Sanskrit Shlokas/Mant,Wonder House Books,4.7 out of 5 stars,632,Board book,199.0,https://www.amazon.in/Shlokas-Mantras-Kids-Illustrated-Tradition/dp/9354405169/ref=zg_bs_g_1318188031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_1318188031_d_sccl_10_bl/000-0000000-0000000
