Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
கனவாகும் காதல் முரண்- பாகம் 3: Kanavaakum kaathal muran - part 3 (Tamil Edition),ஆத்விகா பொம்மு (Aadvika Pommu),4.5 out of 5 stars,87,Kindle Edition,99.0,https://www.amazon.in/%E0%AE%95%E0%AE%A9%E0%AE%B5%E0%AE%BE%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%8D-%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AE%A3%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AE%AE%E0%AF%8D-Kanavaakum-ebook/dp/B0CWWWKHZX/ref=zg_bs_g_1318168031_d_sccl_1/000-0000000-0000000?psc=1,NA
உத்தரவின்றி உள்ளே வந்த வெண்ணிலவே!! (Tamil Edition),உத்ரா சித்தார்த்,4.4 out of 5 stars,15,Kindle Edition,250.0,https://www.amazon.in/%E0%AE%89%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%B0%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D%E0%AE%B1%E0%AE%BF-%E0%AE%89%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%87-%E0%AE%B5%E0%AE%A8%E0%AF%8D%E0%AE%A4-%E0%AE%B5%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%BF%E0%AE%B2%E0%AE%B5%E0%AF%87-Tamil-ebook/dp/B0CW1NM5JL/ref=zg_bs_g_1318168031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/%E0%AE%89%E0%AE%A4%E0%AF%8D%E0%AE%B0%E0%AE%BE-%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%A4%E0%AF%8D/e/B0861BZ83T/ref=zg_bs_g_1318168031_d_sccl_2_bl/000-0000000-0000000
Manivizhigal Pesum Mounamozhi (மணிவிழிகள் பேசும் மௌனமொழி),JI YA,4.2 out of 5 stars,104,Kindle Edition,380.0,https://www.amazon.in/Manivizhigal-Mounamozhi-%E0%AE%AE%E0%AE%A3%E0%AE%BF%E0%AE%B5%E0%AE%BF%E0%AE%B4%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D-%E0%AE%AA%E0%AF%87%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AF%8C%E0%AE%A9%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF-ebook/dp/B0CW1FVP8G/ref=zg_bs_g_1318168031_d_sccl_3/000-0000000-0000000?psc=1,NA
என்னை ஆளும் வர்மனே..: PS NOVELS (Tamil Edition),P S,3.3 out of 5 stars,3,Kindle Edition,399.0,https://www.amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88-%E0%AE%86%E0%AE%B3%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%B5%E0%AE%B0%E0%AF%8D%E0%AE%AE%E0%AE%A9%E0%AF%87-NOVELS-Tamil-ebook/dp/B0CW1H3HZK/ref=zg_bs_g_1318168031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/P-S/e/B0C16BDH2P/ref=zg_bs_g_1318168031_d_sccl_4_bl/000-0000000-0000000
தீராநதி!! தேடல்களோ தீராதினி!! (Tamil Edition),Ishana  Neelakandan ,4.0 out of 5 stars,42,Kindle Edition,300.0,https://www.amazon.in/%E0%AE%A4%E0%AF%80%E0%AE%B0%E0%AE%BE%E0%AE%A8%E0%AE%A4%E0%AE%BF-%E0%AE%A4%E0%AF%87%E0%AE%9F%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8B-%E0%AE%A4%E0%AF%80%E0%AE%B0%E0%AE%BE%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AE%BF-Ishana-Neelakandan-ebook/dp/B0CW187437/ref=zg_bs_g_1318168031_d_sccl_5/000-0000000-0000000?psc=1,NA
Married in Hate: An Enemies to Lovers Billionaire Romance (Dynasty Rebels Book 1),Shilpa Suraj,4.6 out of 5 stars,64,Kindle Edition,199.0,https://www.amazon.in/Married-Hate-Enemies-Billionaire-Romance-ebook/dp/B0CRYYQRHV/ref=zg_bs_g_1318168031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Shilpa-Suraj/e/B0867KTR86/ref=zg_bs_g_1318168031_d_sccl_6_bl/000-0000000-0000000
கனவாகும் காதல் முரண்- பாகம் 2: Kanavaakum kaathal muran - part 2 (Tamil Edition),ஆத்விகா பொம்மு (Aadvika Pommu),4.2 out of 5 stars,123,Kindle Edition,99.0,https://www.amazon.in/%E0%AE%95%E0%AE%A9%E0%AE%B5%E0%AE%BE%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%8D-%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AE%A3%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AE%AE%E0%AF%8D-Kanavaakum-ebook/dp/B0CWGLFKLX/ref=zg_bs_g_1318168031_d_sccl_7/000-0000000-0000000?psc=1,NA
சர்க்கார் - பாகம் 1: SARKAR (Tamil Edition),Vanmathy Hari,4.4 out of 5 stars,12,Kindle Edition,490.0,https://www.amazon.in/%E0%AE%9A%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AE%AE%E0%AF%8D-1-SARKAR-Tamil-ebook/dp/B0CW1KZVT8/ref=zg_bs_g_1318168031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Vanmathy-Hari/e/B08JM1ZTW9/ref=zg_bs_g_1318168031_d_sccl_8_bl/000-0000000-0000000
The Secret Fiancée: Lexington and Raya's Story (The Windsors),Catharina Maura,4.5 out of 5 stars,"4,344",Kindle Edition,449.0,https://www.amazon.in/Secret-Fianc%C3%A9e-Lexington-Rayas-Windsors-ebook/dp/B0CJDPTB3V/ref=zg_bs_g_1318168031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Catharina-Maura/e/B089B5CTHW/ref=zg_bs_g_1318168031_d_sccl_9_bl/000-0000000-0000000
கனவாகும் காதல் முரண்- பாகம் 1: Kanavaakum kaathal muran - part 1 (Tamil Edition),ஆத்விகா பொம்மு (Aadvika Pommu),4.4 out of 5 stars,159,Kindle Edition,99.0,https://www.amazon.in/%E0%AE%95%E0%AE%A9%E0%AE%B5%E0%AE%BE%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%8D-%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AE%A3%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AE%AE%E0%AF%8D-Kanavaakum-ebook/dp/B0CW1DQJF2/ref=zg_bs_g_1318168031_d_sccl_10/000-0000000-0000000?psc=1,NA
