Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
All In One Class 10th Social Science for CBSE Exam 2024,Farah Sultan Aditya Raj ,4.3 out of 5 stars,752,Paperback,362.0,https://www.amazon.in/Class-10th-Social-Science-Exam-2024/dp/9350106000/ref=zg_bs_g_4149807031_d_sccl_1/000-0000000-0000000?psc=1,NA
Lucent's General Knowledge 2024 Latest Edition with New Updated Contents - Useful for all Govt. Exam 2024 (Original Copy with,Dr. Binay Karna,4.1 out of 5 stars,12,Paperback,249.0,https://www.amazon.in/Lucents-General-Knowledge-Updated-Contents/dp/B0CT2WSCLJ/ref=zg_bs_g_4149807031_d_sccl_2/000-0000000-0000000?psc=1,NA
Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination,"Veena Aggarwal, R S; Aggarwal",4.4 out of 5 stars,"2,071",Paperback,655.0,https://www.amazon.in/Secondary-School-Mathematics-Examination-2020-2021/dp/9388704517/ref=zg_bs_g_4149807031_d_sccl_3/000-0000000-0000000?psc=1,NA
All In One Class 10th Science for CBSE Exam 2024,"Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor , Imran Ahmad ",4.3 out of 5 stars,618,Paperback,378.0,https://www.amazon.in/Class-10th-Science-CBSE-Exam-2024/dp/9350105993/ref=zg_bs_g_4149807031_d_sccl_4/000-0000000-0000000?psc=1,NA
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,4.5 out of 5 stars,"4,523",Paperback,246.0,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_g_4149807031_d_sccl_5/000-0000000-0000000?psc=1,NA
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.4 out of 5 stars,"1,751",Paperback,45.0,https://www.amazon.in/NCERT-Textbooks-English-class-12/dp/B08K4JM83V/ref=zg_bs_g_4149807031_d_sccl_6/000-0000000-0000000?psc=1,NA
High School English Gram & Comp (Reg Ed),"Rao N,D,V,Prasada",4.4 out of 5 stars,"12,351",Paperback,280.0,https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_g_4149807031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Rao-NDVPrasada/e/B00JQ0LJIC/ref=zg_bs_g_4149807031_d_sccl_7_bl/000-0000000-0000000
Mathematics class 10th and MCQs - by R.D. Sharma (2024-25 Examination),R.D. Sharma,3.8 out of 5 stars,4,Paperback,493.0,https://www.amazon.in/Mathematics-class-10th-MCQs-Examination/dp/9394417400/ref=zg_bs_g_4149807031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/R-D-Sharma/e/B075TC77Z7/ref=zg_bs_g_4149807031_d_sccl_8_bl/000-0000000-0000000
All In One Class 10th English Language and Literature for CBSE Exam 2024,Vaishali Jaiwal Srishti Agarwal ,4.3 out of 5 stars,738,Paperback,375.0,https://www.amazon.in/Arihant-English-Language-Literature-Exam-2024/dp/9350106019/ref=zg_bs_g_4149807031_d_sccl_9/000-0000000-0000000?psc=1,NA
Science For Class - 10 - 1064,NCERT,4.3 out of 5 stars,"2,051",Paperback,140.0,https://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365/ref=zg_bs_g_4149807031_d_sccl_10/000-0000000-0000000?psc=1,NA
Mathematics For Class - 10 - 1062,NCERT,4.3 out of 5 stars,"1,304",Paperback,89.0,https://www.amazon.in/Mathematics-Textbook-Class-10-1062/dp/8174506349/ref=zg_bs_g_4149807031_d_sccl_11/000-0000000-0000000?psc=1,NA
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.2 out of 5 stars,347,Board book,75.0,https://www.amazon.in/NCERT-Textbooks-English-class-12/dp/B098PM3T89/ref=zg_bs_g_4149807031_d_sccl_12/000-0000000-0000000?psc=1,NA
Mathematics NCERT Textbook For Class XII Part I + Part II (English Medium) by NCERT,NCERT,4.2 out of 5 stars,452,Paperback,179.0,https://www.amazon.in/Math-12h-I-NCERT/dp/B0895R17PX/ref=zg_bs_g_4149807031_d_sccl_13/000-0000000-0000000?psc=1,NA
Science 10th,NCERT,4.2 out of 5 stars,549,Paperback,190.0,https://www.amazon.in/NCERT-Science-Mathematics-Textbook-Class/dp/B07P9DB69M/ref=zg_bs_g_4149807031_d_sccl_14/000-0000000-0000000?psc=1,NA
NCERT Footprints Without Feet - Supplementary Reader And First Flight English Textbook for Class - 10 ( Set of 2 Books ),NCERT,4.3 out of 5 stars,793,Paperback,70.0,https://www.amazon.in/Vistas-Supplementary-reader-english-class/dp/B076F9PBP9/ref=zg_bs_g_4149807031_d_sccl_15/000-0000000-0000000?psc=1,NA
Concept of Physics by H.C Verma Part - II - Session 2022-23,H.C. Verma,4.6 out of 5 stars,"10,852",Paperback,368.0,https://www.amazon.in/Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=zg_bs_g_4149807031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/H-C-Verma/e/B001ICIV3C/ref=zg_bs_g_4149807031_d_sccl_16_bl/000-0000000-0000000
NCERT Exemplar Problems Solutions Mathematics class 10th,Amit Rastogi Neha Tyagi ,4.3 out of 5 stars,428,Paperback,165.0,https://www.amazon.in/Arihant-Exemplar-Problems-Solutions-Mathematics/dp/9327197402/ref=zg_bs_g_4149807031_d_sccl_17/000-0000000-0000000?psc=1,NA
Sparsh -2nd Lang. Hindi For Class - 10 - 1057,NCERT,4.3 out of 5 stars,"1,038",Paperback,67.0,https://www.amazon.in/Sparsh-Bhag-Secondary-Language-Dwitya/dp/8174506470/ref=zg_bs_g_4149807031_d_sccl_18/000-0000000-0000000?psc=1,NA
Lucent's General Knowledge 2024 in Hindi Latest Edition with New Updated Contents - Useful for all Govt. Exam 2024 (Original ,Sunil Kumar Singh,5.0 out of 5 stars,1,Paperback,235.0,https://www.amazon.in/Lucents-General-Knowledge-Updated-Contents/dp/B0CV7ZJ8ZR/ref=zg_bs_g_4149807031_d_sccl_19/000-0000000-0000000?psc=1,NA
"Oswaal CBSE Question Bank Class 10 Science, Chapterwise and Topicwise Solved Papers For Board Exams 2025",Oswaal Editorial Board,4.7 out of 5 stars,81,Paperback,547.0,https://www.amazon.in/Oswaal-Question-Science-Chapterwise-Topicwise/dp/9359589195/ref=zg_bs_g_4149807031_d_sccl_20/000-0000000-0000000?psc=1,NA
Understanding Economic Development - Economic For Class - 10 - 1070,NCERT,4.4 out of 5 stars,934,Paperback,45.0,https://www.amazon.in/Understanding-Economic-Development-Textbook-Science/dp/8174506551/ref=zg_bs_g_4149807031_d_sccl_21/000-0000000-0000000?psc=1,NA
3 OLD NCERT HISTORY BOOKS (1) Ancient India- RS Sharma (Class-11) (2) Medieval India - Satish Chandra (Class-11) (3) Modern I,Vipin Chandra Satish Chandra and ram Sharan Sharma,3.9 out of 5 stars,928,Paperback,268.0,https://www.amazon.in/HISTORY-Ancient-India-Class-11-Medieval/dp/9351721450/ref=zg_bs_g_4149807031_d_sccl_22/000-0000000-0000000?psc=1,NA
"NCERT Exemplar Problems-Solutions Science, Mathematics Class 10th (Combo Set of 2 Books )","SK Singh, Geetika Khanna , Dr. Kanchan Upreti Amit Rastogi ,",4.4 out of 5 stars,"1,675",Paperback,293.0,https://www.amazon.in/NCERT-Solutions-Science-Mathematics-Class/dp/9350106132/ref=zg_bs_g_4149807031_d_sccl_23/000-0000000-0000000?psc=1,NA
