Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationali",MTG Editorial Board,4.4 out of 5 stars,76,Paperback,630.0,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Biology/dp/8119218205/ref=zg_bs_g_4149708031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_4149708031_d_sccl_1_bl/000-0000000-0000000
Physics Galaxy 2020-21 : Advanced Illustration In Physics,Ashish Arora,4.6 out of 5 stars,"1,823",Paperback,345.0,https://www.amazon.in/Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=zg_bs_g_4149708031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Ashish-Arora/e/B07X7KGVSH/ref=zg_bs_g_4149708031_d_sccl_2_bl/000-0000000-0000000
"MTG Objective NCERT at your FINGERTIPS For NEET - Physics, Chemistry, Biology (Set of 3 Books) | NCERT NEET Trend Indicator |",MTG Editorial Board,4.3 out of 5 stars,42,Paperback,"1,599.0",https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-NEET/dp/8119218469/ref=zg_bs_g_4149708031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_4149708031_d_sccl_3_bl/000-0000000-0000000
"MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationa",MTG Editorial Board,4.5 out of 5 stars,54,Paperback,435.0,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Chemistry/dp/8119218833/ref=zg_bs_g_4149708031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_4149708031_d_sccl_4_bl/000-0000000-0000000
Relativity: The Special And The General Theory by Albert Einstein - Theory of Relativity | Physics and Astrophysics | Space a,Albert Einstein,4.5 out of 5 stars,"4,731",Paperback,148.0,https://www.amazon.in/Relativity-Special-General-Albert-Einstein/dp/8175994657/ref=zg_bs_g_4149708031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Albert-Einstein/e/B000AP7JOU/ref=zg_bs_g_4149708031_d_sccl_5_bl/000-0000000-0000000
Behave : The bestselling exploration of why humans behave as they do,Robert M Sapolsky,4.5 out of 5 stars,"7,619",Paperback,475.0,https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_g_4149708031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-M-Sapolsky/e/B000APOCFE/ref=zg_bs_g_4149708031_d_sccl_6_bl/000-0000000-0000000
Problems In General Physics,IE Irodov,4.5 out of 5 stars,284,Paperback,111.0,https://www.amazon.in/Problems-General-Physics-IE-Irodov/dp/938812734X/ref=zg_bs_g_4149708031_d_sccl_7/000-0000000-0000000?psc=1,NA
Dr Cuterus: Everything Nobody Tells You: Everything Nobody Tells You About Your Body,Dr Tanaya Narendra,4.7 out of 5 stars,632,Paperback,184.0,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_g_4149708031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Dr-Tanaya-Narendra/e/B0BP67JP94/ref=zg_bs_g_4149708031_d_sccl_8_bl/000-0000000-0000000
Black Holes (L) : The Reith Lectures,Stephen Hawking,4.5 out of 5 stars,"7,707",Paperback,99.0,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_4149708031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Stephen-Hawking/e/B000AP5X0M/ref=zg_bs_g_4149708031_d_sccl_9_bl/000-0000000-0000000
"MTG Objective NCERT at your FINGERTIPS Physics - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationali",MTG Editorial Board,4.0 out of 5 stars,25,Paperback,430.0,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Physics/dp/8119218728/ref=zg_bs_g_4149708031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_4149708031_d_sccl_10_bl/000-0000000-0000000
NEET Objective Physics Volume 2,DC Pandey,4.4 out of 5 stars,191,Paperback,647.0,https://www.amazon.in/NEET-Objective-Physics-DC-Pandey/dp/9389204836/ref=zg_bs_g_4149708031_d_sccl_11/000-0000000-0000000?psc=1,NA
"Brief History Of Time, A (L)",Stephen Hawking,4.6 out of 5 stars,"21,010",Paperback,301.0,https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211/ref=zg_bs_g_4149708031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Stephen-Hawking/e/B000AP5X0M/ref=zg_bs_g_4149708031_d_sccl_12_bl/000-0000000-0000000
"Short History Of Nearly Everything, A (Bryson) [Paperback] Bryson, Bill",Bill Bryson,4.6 out of 5 stars,"16,220",Paperback,299.9,https://www.amazon.in/Bryson-Bill/dp/1784161853/ref=zg_bs_g_4149708031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/Bill-Bryson/e/B000APXTVM/ref=zg_bs_g_4149708031_d_sccl_13_bl/000-0000000-0000000
A Competitive Book of Agriculture new raj sunda with colour page 12th jan 2023 edition [Perfect Paperback] Nem Raj Sunda,Nem Raj Sunda,4.3 out of 5 stars,177,Perfect Paperback,271.0,https://www.amazon.in/Competitive-Agriculture-colour-Perfect-Paperback/dp/B0C399YPDN/ref=zg_bs_g_4149708031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Nem-Raj-Sunda/e/B078WRCG1S/ref=zg_bs_g_4149708031_d_sccl_14_bl/000-0000000-0000000
Gut: The Inside Story Of Our BodyS Most Under-Rated Organ,Giulia Enders,4.5 out of 5 stars,"3,188",Paperback,259.0,https://www.amazon.in/Gut-Inside-Story-Bodys-Under-Rated/dp/938528861X/ref=zg_bs_g_4149708031_d_sccl_15/000-0000000-0000000?psc=1,https://www.amazon.in/Giulia-Enders/e/B00RS7JKS6/ref=zg_bs_g_4149708031_d_sccl_15_bl/000-0000000-0000000
"Guns, Germs and Steel : The MILLION-COPY bestselling history of everybody (20th Anniversary Edition)",Jared Diamond,4.5 out of 5 stars,"11,870",Paperback,427.0,https://www.amazon.in/Guns-Germs-Steel-Jared-Diamond/dp/0099302780/ref=zg_bs_g_4149708031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Jared-Diamond/e/B000AQ01ZS/ref=zg_bs_g_4149708031_d_sccl_16_bl/000-0000000-0000000
Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Amit M Agarwal,4.4 out of 5 stars,206,Paperback,189.0,https://www.amazon.in/Skills-Mathematics-Play-Graphs-Advanced/dp/938920481X/ref=zg_bs_g_4149708031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Amit-M-Agarwal/e/B00LRIFZSQ/ref=zg_bs_g_4149708031_d_sccl_17_bl/000-0000000-0000000
