Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
The Power of Your Subconscious Mind: Original Edition | Premium Paperback,Joseph Murphy,4.5 out of 5 stars,"81,704",Paperback,149.0,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_g_1318203031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Joseph-Murphy/e/B001HCYPOC/ref=zg_bs_g_1318203031_d_sccl_1_bl/000-0000000-0000000
Sapiens : THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,4.7 out of 5 stars,"117,914",Paperback,464.3,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_1318203031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_g_1318203031_d_sccl_2_bl/000-0000000-0000000
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"81,704",Paperback,137.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_1318203031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Joseph-Murphy/e/B001HCYPOC/ref=zg_bs_g_1318203031_d_sccl_3_bl/000-0000000-0000000
Physics Galaxy 2020-21 : Advanced Illustration In Physics,Ashish Arora,4.6 out of 5 stars,"1,823",Paperback,345.0,https://www.amazon.in/Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=zg_bs_g_1318203031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Ashish-Arora/e/B07X7KGVSH/ref=zg_bs_g_1318203031_d_sccl_4_bl/000-0000000-0000000
"Diary Of A Wimpy Kid: No Brainer (Book 18) (Diary of a Wimpy Kid, 18)",Jeff Kinney,4.6 out of 5 stars,"5,822",Hardcover,392.0,https://www.amazon.in/Diary-Wimpy-Kid-Brainer-Book/dp/0241583136/ref=zg_bs_g_1318203031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Jeff-Kinney/e/B001J93AUI/ref=zg_bs_g_1318203031_d_sccl_5_bl/000-0000000-0000000
Masala Lab,Ashok Krish,4.5 out of 5 stars,"2,518",Paperback,259.0,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_g_1318203031_d_sccl_6/000-0000000-0000000?psc=1,NA
NCERT | CLASS 12 | PHYSICS | PART 1 & 2 | ENGLISH MEDIUM,SHRESTH BOOK SHOP,4.8 out of 5 stars,10,Paperback,150.0,https://www.amazon.in/NCERT-CLASS-PHYSICS-ENGLISH-MEDIUM/dp/B0CGDYL9X1/ref=zg_bs_g_1318203031_d_sccl_7/000-0000000-0000000?psc=1,NA
"MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationa",MTG Editorial Board,4.5 out of 5 stars,54,Paperback,435.0,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Chemistry/dp/8119218833/ref=zg_bs_g_1318203031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/MTG-Editorial-Board/e/B081CTWW1L/ref=zg_bs_g_1318203031_d_sccl_8_bl/000-0000000-0000000
Psychopathology of Everyday Life by Sigmund Freud – A Masterpiece on Parapraxes | Psychoanalysis | Unconscious Mind | Masterf,Sigmund Freud,4.2 out of 5 stars,"1,008",Paperback,139.0,https://www.amazon.in/Psychopathology-Everyday-Life-Sigmund-Freud/dp/9354402208/ref=zg_bs_g_1318203031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Sigmund-Freud/e/B000AQ8VV4/ref=zg_bs_g_1318203031_d_sccl_9_bl/000-0000000-0000000
Relativity: The Special And The General Theory by Albert Einstein - Theory of Relativity | Physics and Astrophysics | Space a,Albert Einstein,4.5 out of 5 stars,"4,731",Paperback,148.0,https://www.amazon.in/Relativity-Special-General-Albert-Einstein/dp/8175994657/ref=zg_bs_g_1318203031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Albert-Einstein/e/B000AP7JOU/ref=zg_bs_g_1318203031_d_sccl_10_bl/000-0000000-0000000
Behave : The bestselling exploration of why humans behave as they do,Robert M Sapolsky,4.5 out of 5 stars,"7,619",Paperback,475.0,https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_g_1318203031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-M-Sapolsky/e/B000APOCFE/ref=zg_bs_g_1318203031_d_sccl_11_bl/000-0000000-0000000
NCERT | CHEMISTRY | CLASS 12 PART 1 & 2 | ENGLISH MEDIUM | 2023 | COMBO OF 2 BOOKS SET |,SHRESTH BOOK SHOP,4.5 out of 5 stars,5,Paperback,130.0,https://www.amazon.in/NCERT-CHEMISTRY-CLASS-ENGLISH-MEDIUM/dp/B0CGFD964V/ref=zg_bs_g_1318203031_d_sccl_12/000-0000000-0000000?psc=1,NA
Problems In General Physics,IE Irodov,4.5 out of 5 stars,284,Paperback,111.0,https://www.amazon.in/Problems-General-Physics-IE-Irodov/dp/938812734X/ref=zg_bs_g_1318203031_d_sccl_13/000-0000000-0000000?psc=1,NA
First Aid for the USMLE Step 1 2023 With PATHOMA 2023 FREE (Pack Of 2 Books),Matthew Sochat,4.4 out of 5 stars,71,Paperback,"1,500.0",https://www.amazon.in/First-USMLE-Step-PATHOMA-Books/dp/B0CCPRZ723/ref=zg_bs_g_1318203031_d_sccl_14/000-0000000-0000000?psc=1,NA
The Art of War,Sun Tzu,4.3 out of 5 stars,"13,578",Paperback,97.2,https://www.amazon.in/Art-War-Sun-Tzu/dp/8172345240/ref=zg_bs_g_1318203031_d_sccl_15/000-0000000-0000000?psc=1,https://www.amazon.in/Sun-Tzu/e/B001IGOJRK/ref=zg_bs_g_1318203031_d_sccl_15_bl/000-0000000-0000000
Dr Cuterus: Everything Nobody Tells You: Everything Nobody Tells You About Your Body,Dr Tanaya Narendra,4.7 out of 5 stars,632,Paperback,184.0,https://www.amazon.in/Dr-Cuterus-Everything-Nobody-Tells/dp/0143455702/ref=zg_bs_g_1318203031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Dr-Tanaya-Narendra/e/B0BP67JP94/ref=zg_bs_g_1318203031_d_sccl_16_bl/000-0000000-0000000
VIAGRA 100MG FOR MEN / पुरुषों के लिए वियाग्रा 100MG,Barid Ulla,2.8 out of 5 stars,54,Paperback,206.0,https://www.amazon.in/VIAGRA-100MG-MEN-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%B7%E0%A5%8B%E0%A4%82-%E0%A4%B5%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A4%BE/dp/B0BWYH9H1N/ref=zg_bs_g_1318203031_d_sccl_17/000-0000000-0000000?psc=1,NA
HOOKED,Nir Eyal,4.6 out of 5 stars,"7,491",Hardcover,464.3,https://www.amazon.in/HOOKED-Nir-Eyal/dp/0241184835/ref=zg_bs_g_1318203031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Nir-Eyal/e/B00HJ8021I/ref=zg_bs_g_1318203031_d_sccl_18_bl/000-0000000-0000000
Black Holes (L) : The Reith Lectures,Stephen Hawking,4.5 out of 5 stars,"7,707",Paperback,99.0,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_1318203031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Stephen-Hawking/e/B000AP5X0M/ref=zg_bs_g_1318203031_d_sccl_19_bl/000-0000000-0000000
