Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,4.5 out of 5 stars,"12,870",Hardcover,331.0,https://www.amazon.in/Courage-Be-Disliked-yourself-happiness/dp/1760630721/ref=zg_bs_g_1318216031_d_sccl_1/000-0000000-0000000?psc=1,NA
Blackbook of English Vocabulary,Nikhil K.R. Gupta,4.5 out of 5 stars,"2,558",Paperback,329.0,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_g_1318216031_d_sccl_2/000-0000000-0000000?psc=1,NA
"The Art Of Saying NO: How To Stand Your Ground, Reclaim Your Time And Energy, And Refuse To Be Taken For Granted (Without Fee",Damon Zahariades,4.1 out of 5 stars,"6,838",Kindle Edition,191.0,https://www.amazon.in/Art-Saying-NO-Reclaim-Granted-ebook/dp/B074LZG7KS/ref=zg_bs_g_1318216031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Damon-Zahariades/e/B011Q3T9ZQ/ref=zg_bs_g_1318216031_d_sccl_3_bl/000-0000000-0000000
"Thinking, Fast & Slow (L)",Daniel Kahneman,4.5 out of 5 stars,"29,434",Paperback,457.0,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_g_1318216031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Daniel-Kahneman/e/B001ILFNQG/ref=zg_bs_g_1318216031_d_sccl_4_bl/000-0000000-0000000
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,"294,571",Paperback,269.0,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318216031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Alex-Michaelides/e/B07CZQY3KT/ref=zg_bs_g_1318216031_d_sccl_5_bl/000-0000000-0000000
THE 48 LAWS OF POWER,Robert Greene,4.6 out of 5 stars,"19,527",Paperback,559.0,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318216031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Robert-Greene/e/B001IGV3IS/ref=zg_bs_g_1318216031_d_sccl_6_bl/000-0000000-0000000
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,4.5 out of 5 stars,"84,597",Paperback,206.0,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318216031_d_sccl_7/000-0000000-0000000?psc=1,NA
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,"17,283",Paperback,288.0,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_g_1318216031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Eric-Jorgenson/e/B07CKJFNGR/ref=zg_bs_g_1318216031_d_sccl_8_bl/000-0000000-0000000
Sapiens : THE MULTI-MILLION COPY BESTSELLER,Yuval Noah Harari,4.7 out of 5 stars,"117,914",Paperback,464.3,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_1318216031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Yuval-Noah-Harari/e/B00J21BCIW/ref=zg_bs_g_1318216031_d_sccl_9_bl/000-0000000-0000000
"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",Gareth Moore,4.3 out of 5 stars,"10,578",Paperback,139.0,https://www.amazon.in/BRAIN-GAMES-CLEVER-Paperback-Gareth/dp/1780552491/ref=zg_bs_g_1318216031_d_sccl_10/000-0000000-0000000?psc=1,NA
