Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Breath (Lead Title),James Nestor,4.6 out of 5 stars,"26,531",Paperback,356.0,https://www.amazon.in/Breath-New-Science-Lost-Art/dp/0241289122/ref=zg_bs_g_1318224031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/James-Nestor/e/B00J1RO5MM/ref=zg_bs_g_1318224031_d_sccl_1_bl/000-0000000-0000000
How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer: The Autobiography of the World’s Greatest F,Adrian Newey,4.7 out of 5 stars,"6,842",Hardcover,880.0,https://www.amazon.in/How-Build-Car-Autobiography-Greatest/dp/000819680X/ref=zg_bs_g_1318224031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Adrian-Newey/e/B07565FCWW/ref=zg_bs_g_1318224031_d_sccl_2_bl/000-0000000-0000000
Colouring Books For Kids | Pack of 12 Copy Coloring Activity Book Collections for 3+ Years Children by InIkao (12 Books) : ( ,Rajkumar,4.4 out of 5 stars,"3,373",Paperback,322.0,https://www.amazon.in/Colouring-Books-Collections-InIkao-12/dp/8193628403/ref=zg_bs_g_1318224031_d_sccl_3/000-0000000-0000000?psc=1,NA
PLAYING IT MY WAY,Sachin Tendulkar,4.5 out of 5 stars,"5,192",Paperback,387.0,https://www.amazon.in/Playing-My-Way-Sachin-Tendulkar/dp/1473605172/ref=zg_bs_g_1318224031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/Sachin-Tendulkar/e/B00NV9VESO/ref=zg_bs_g_1318224031_d_sccl_4_bl/000-0000000-0000000
"The Great Indian Cricket Circus: Amazing Facts, Stats and Everything in Between",Joy Bhattacharjya,4.6 out of 5 stars,41,Paperback,389.0,https://www.amazon.in/Great-Indian-Cricket-Circus-Everything/dp/9356991154/ref=zg_bs_g_1318224031_d_sccl_5/000-0000000-0000000?psc=1,NA
NEVER FORGET,Michel Bussi,4.1 out of 5 stars,448,Paperback,65.9,https://www.amazon.in/Never-Forget-Michel-Bussi/dp/1474601847/ref=zg_bs_g_1318224031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Michel-Bussi/e/B004MUB972/ref=zg_bs_g_1318224031_d_sccl_6_bl/000-0000000-0000000
What I Talk About When I Talk About Running,Haruki Murakami,4.4 out of 5 stars,"7,804",Paperback,339.0,https://www.amazon.in/What-Talk-About-When-Running/dp/0099526158/ref=zg_bs_g_1318224031_d_sccl_7/000-0000000-0000000?psc=1,https://www.amazon.in/Haruki-Murakami/e/B000AP7AFI/ref=zg_bs_g_1318224031_d_sccl_7_bl/000-0000000-0000000
The 12-Week Fitness Project (Updated for 2021 with 12 Extra Guidelines),Rujuta Diwekar,4.4 out of 5 stars,"4,709",Paperback,227.0,https://www.amazon.in/12-Week-Fitness-Project-Updated-Guidelines/dp/9353451418/ref=zg_bs_g_1318224031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Rujuta-Diwekar/e/B004EEVCUA/ref=zg_bs_g_1318224031_d_sccl_8_bl/000-0000000-0000000
The Dhoni Touch,Sundaresan Bharat,4.5 out of 5 stars,"1,351",Paperback,211.2,https://www.amazon.in/Dhoni-Touch-Unravelling-Enigma-Mahendra/dp/0143440063/ref=zg_bs_g_1318224031_d_sccl_9/000-0000000-0000000?psc=1,NA
Bobby Fischer Teaches Chess,Bobby Fischer,4.1 out of 5 stars,"8,856",Mass Market Paperback,303.0,https://www.amazon.in/Bobby-Fischer-Teaches-Chess/dp/0553263153/ref=zg_bs_g_1318224031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Bobby-Fischer/e/B001HD393Y/ref=zg_bs_g_1318224031_d_sccl_10_bl/000-0000000-0000000
The Inner Game of Tennis,W Timothy Gallwey,4.6 out of 5 stars,"7,877",Paperback,384.0,https://www.amazon.in/Inner-Game-Tennis-ultimate-performance/dp/1447288505/ref=zg_bs_g_1318224031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/W-Timothy-Gallwey/e/B000APB9KK/ref=zg_bs_g_1318224031_d_sccl_11_bl/000-0000000-0000000
The Book of Five Rings: A Classic Text on the Japanese Way of the Sword (Shambhala Library),Miyamoto Musashi,4.5 out of 5 stars,"2,081",Mass Market Paperback,493.6,https://www.amazon.in/Book-Five-Rings-Japanese-Shambhala/dp/1590302486/ref=zg_bs_g_1318224031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Miyamoto-Musashi/e/B001IYXBKS/ref=zg_bs_g_1318224031_d_sccl_12_bl/000-0000000-0000000
Rules Of The Game: A College Hockey Romance (Rule Breaker Series Book 2),J. Wilder,4.2 out of 5 stars,"3,372",Kindle Edition,415.0,https://www.amazon.in/Rules-Game-College-Romance-Breaker-ebook/dp/B0BVJ454TK/ref=zg_bs_g_1318224031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/J-Wilder/e/B0BR1N6VK3/ref=zg_bs_g_1318224031_d_sccl_13_bl/000-0000000-0000000
Yuktahaar: The Belly And Brain Diet,Munmun Ganeriwal,4.3 out of 5 stars,389,Paperback,194.0,https://www.amazon.in/Yuktahaar-Belly-Brain-Munmun-Ganeriwal/dp/0143454382/ref=zg_bs_g_1318224031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Munmun-Ganeriwal/e/B09N9WLQK8/ref=zg_bs_g_1318224031_d_sccl_14_bl/000-0000000-0000000
BLACK BOX THINKING (REISSUE),Matthew Syed,4.6 out of 5 stars,"5,443",Paperback,475.0,https://www.amazon.in/Black-Box-Thinking-Matthew-Syed/dp/1473613809/ref=zg_bs_g_1318224031_d_sccl_15/000-0000000-0000000?psc=1,https://www.amazon.in/Matthew-Syed/e/B0119S945I/ref=zg_bs_g_1318224031_d_sccl_15_bl/000-0000000-0000000
"Mother Pucker: Single mom, hockey romance",Swati MH,4.3 out of 5 stars,"1,591",Kindle Edition,414.0,https://www.amazon.in/Mother-Pucker-Single-hockey-romance-ebook/dp/B0CHBQB7DB/ref=zg_bs_g_1318224031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Swati-MH/e/B08KHZ1YR4/ref=zg_bs_g_1318224031_d_sccl_16_bl/000-0000000-0000000
"BORN TO RUN: THE HIDDEN TRIBE, THE ULTRA-RUNNERS, AND THE GREATEST RACE THE WORLD HAS NEVER SEEN",Christopher McDougall,4.6 out of 5 stars,"23,414",Paperback,389.0,https://www.amazon.in/BORN-RUN-HIDDEN-ULTRA-RUNNERS-GREATEST/dp/1861978774/ref=zg_bs_g_1318224031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Christopher-McDougall/e/B001H6RRCU/ref=zg_bs_g_1318224031_d_sccl_17_bl/000-0000000-0000000
Zonal Marking: The Making of Modern European Football,Michael Cox,4.7 out of 5 stars,"1,280",Paperback,393.8,https://www.amazon.in/Zonal-Marking-Making-European-Football/dp/0008291179/ref=zg_bs_g_1318224031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Michael-Cox/e/B07T8Y8TN1/ref=zg_bs_g_1318224031_d_sccl_18_bl/000-0000000-0000000
Jim Corbett : Man Eaters of Kumaon,Jim Corbett,4.6 out of 5 stars,"2,736",Paperback,178.0,https://www.amazon.in/Man-Eaters-Kumaon-Jim-Corbett/dp/9386316013/ref=zg_bs_g_1318224031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Jim-Corbett/e/B001IQUMSU/ref=zg_bs_g_1318224031_d_sccl_19_bl/000-0000000-0000000
THE MAN EATING LEOPARD OF RUDRAPRAYAG,Jim Corbett,4.7 out of 5 stars,"1,738",Paperback,105.0,https://www.amazon.in/MAN-EATING-LEOPARD-RUDRAPRAYAG/dp/8129141841/ref=zg_bs_g_1318224031_d_sccl_20/000-0000000-0000000?psc=1,https://www.amazon.in/Jim-Corbett/e/B001IQUMSU/ref=zg_bs_g_1318224031_d_sccl_20_bl/000-0000000-0000000
The Test of My Life,Yuvraj Singh,4.6 out of 5 stars,938,Paperback,259.0,https://www.amazon.in/Test-My-Life-Cricket-Cancer/dp/0143449060/ref=zg_bs_g_1318224031_d_sccl_21/000-0000000-0000000?psc=1,https://www.amazon.in/Yuvraj-Singh/e/B00GUZXYV6/ref=zg_bs_g_1318224031_d_sccl_21_bl/000-0000000-0000000
Would You Rather Survival: A collection of hilarious hypothetical questions (Clint Hammerstrike Asks Book 3),Clint Hammerstrike,4.2 out of 5 stars,163,Kindle Edition,188.0,https://www.amazon.in/Would-You-Rather-Survival-hypothetical-ebook/dp/B0757XKW8G/ref=zg_bs_g_1318224031_d_sccl_22/000-0000000-0000000?psc=1,https://www.amazon.in/Clint-Hammerstrike/e/B074YVBD9G/ref=zg_bs_g_1318224031_d_sccl_22_bl/000-0000000-0000000
"Messi (Updated B PB): The must-read biography of the World Cup champion, now fully updated (Guillem Balague's Books)",Guillem Balague,4.5 out of 5 stars,128,Paperback,789.0,https://www.amazon.in/Messi-Updated-B-PB/dp/1399619136/ref=zg_bs_g_1318224031_d_sccl_23/000-0000000-0000000?psc=1,NA
WALKING THE HIMALAYAS,Levison Wood,4.5 out of 5 stars,"2,444",Paperback,280.0,https://www.amazon.in/WALKING-HIMALAYAS-Levison-Wood/dp/1473626269/ref=zg_bs_g_1318224031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Levison-Wood/e/B00QXKKPTC/ref=zg_bs_g_1318224031_d_sccl_24_bl/000-0000000-0000000
