Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
All In One Class 10th Social Science for CBSE Exam 2024,Farah Sultan Aditya Raj ,4.3 out of 5 stars,752,Paperback,362.0,https://www.amazon.in/Class-10th-Social-Science-Exam-2024/dp/9350106000/ref=zg_bs_g_64619754031_d_sccl_1/000-0000000-0000000?psc=1,NA
Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination,"Veena Aggarwal, R S; Aggarwal",4.4 out of 5 stars,"2,071",Paperback,655.0,https://www.amazon.in/Secondary-School-Mathematics-Examination-2020-2021/dp/9388704517/ref=zg_bs_g_64619754031_d_sccl_2/000-0000000-0000000?psc=1,NA
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.4 out of 5 stars,"1,751",Paperback,45.0,https://www.amazon.in/NCERT-Textbooks-English-class-12/dp/B08K4JM83V/ref=zg_bs_g_64619754031_d_sccl_3/000-0000000-0000000?psc=1,NA
Best of Children’s Classic (Set of 5 Books) : Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,"6,788",Paperback,499.0,https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_g_64619754031_d_sccl_4/000-0000000-0000000?psc=1,NA
The Kid Who Came From Space,Ross Welford,4.5 out of 5 stars,"3,038",Paperback,275.0,https://www.amazon.in/Kid-Who-Came-Space/dp/0008333785/ref=zg_bs_g_64619754031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Ross-Welford/e/B01LZKBZLX/ref=zg_bs_g_64619754031_d_sccl_5_bl/000-0000000-0000000
The Bhagwat Gita : Symphony of the Spirit (Hindi),RR Varma,4.5 out of 5 stars,"1,931",Paperback,239.0,https://www.amazon.in/Bhagwat-Gita-Hindi-Symphony-Spirit/dp/8172345453/ref=zg_bs_g_64619754031_d_sccl_6/000-0000000-0000000?psc=1,NA
All In One Class 10th English Language and Literature for CBSE Exam 2024,Vaishali Jaiwal Srishti Agarwal ,4.3 out of 5 stars,738,Paperback,375.0,https://www.amazon.in/Arihant-English-Language-Literature-Exam-2024/dp/9350106019/ref=zg_bs_g_64619754031_d_sccl_7/000-0000000-0000000?psc=1,NA
Science For Class - 10 - 1064,NCERT,4.3 out of 5 stars,"2,051",Paperback,140.0,https://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365/ref=zg_bs_g_64619754031_d_sccl_8/000-0000000-0000000?psc=1,NA
"SHNMN Sank Magic Practice Copybook, (4 BOOK +1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligra",SHNMN,4.3 out of 5 stars,809,Spiral-bound,247.0,https://www.amazon.in/Practice-Preschoolers-Calligraphy-Practical-Lettering/dp/B09HY85DF7/ref=zg_bs_g_64619754031_d_sccl_9/000-0000000-0000000?psc=1,NA
The Cruel Prince (The Folk of the Air),Holly Black,4.5 out of 5 stars,"42,180",Kindle Edition,310.7,https://www.amazon.in/Cruel-Prince-Folk-Air-ebook/dp/B071XQ6H38/ref=zg_bs_g_64619754031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Holly-Black/e/B001H6GPWS/ref=zg_bs_g_64619754031_d_sccl_10_bl/000-0000000-0000000
