Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Ye,Maple Press,4.5 out of 5 stars,"2,339",Product Bundle,238.0,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_15417300031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Maple-Press/e/B01N6PRWN6/ref=zg_bs_g_15417300031_d_sccl_1_bl/000-0000000-0000000
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Ki",Maple Press,4.4 out of 5 stars,"8,401",Paperback,190.0,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_15417300031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Maple-Press/e/B01N6PRWN6/ref=zg_bs_g_15417300031_d_sccl_2_bl/000-0000000-0000000
How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,4.5 out of 5 stars,"88,338",Paperback,89.0,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_g_15417300031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Dale-Carnegie/e/B00OIFV2S2/ref=zg_bs_g_15417300031_d_sccl_3_bl/000-0000000-0000000
Shrimad Bhagwat Geeta Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"18,947",Hardcover,200.0,https://www.amazon.in/Shrimad-Bhagwat-Geeta-Yatharoop-Hindi/dp/938598618X/ref=zg_bs_g_15417300031_d_sccl_4/000-0000000-0000000?psc=1,https://www.amazon.in/A-C-Bhaktivendanta-Swami-Prabhupada/e/B0BYGR4RHY/ref=zg_bs_g_15417300031_d_sccl_4_bl/000-0000000-0000000
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Number",Wonder House Books,4.3 out of 5 stars,"12,232",Paperback,199.0,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_g_15417300031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_15417300031_d_sccl_5_bl/000-0000000-0000000
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"14,877",Board book,799.0,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_15417300031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_15417300031_d_sccl_6_bl/000-0000000-0000000
"Esther & Jerry Hicks""एस्थर एंड जेरी हिक्स"": The Law of Attraction ""द लॉ ऑफ़ अट्रैक्शन"" (Paperback Book in Hindi)",Esther,4.2 out of 5 stars,949,Paperback,180.0,https://www.amazon.in/Law-Attraction-Esther/dp/9389982340/ref=zg_bs_g_15417300031_d_sccl_7/000-0000000-0000000?psc=1,NA
My First 4 In 1 Alphabet Numbers Colours Shapes: Padded Board Books,Wonder House Books,4.3 out of 5 stars,"5,600",Board book,179.0,https://www.amazon.in/First-Alphabet-Numbers-Colours-Shapes/dp/9387779564/ref=zg_bs_g_15417300031_d_sccl_8/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_15417300031_d_sccl_8_bl/000-0000000-0000000
Very First Sight Words Sentences Level 1 [Paperback] Dreamland Publications,Dreamland Publications,4.5 out of 5 stars,"12,053",Paperback,162.0,https://www.amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996/ref=zg_bs_g_15417300031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Dreamland-Publications/e/B0811H1SN1/ref=zg_bs_g_15417300031_d_sccl_9_bl/000-0000000-0000000
Spelling Time - Activity Workbook,Wonder House Books,4.3 out of 5 stars,214,Paperback,99.0,https://www.amazon.in/Spelling-Time-Wonder-House-Books/dp/9354406432/ref=zg_bs_g_15417300031_d_sccl_10/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_15417300031_d_sccl_10_bl/000-0000000-0000000
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4 out of 5 stars,"4,478",Paperback,109.0,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_g_15417300031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Roger-Fritz/e/B001JJ44M6/ref=zg_bs_g_15417300031_d_sccl_11_bl/000-0000000-0000000
High School English Gram & Comp (Reg Ed),"Rao N,D,V,Prasada",4.4 out of 5 stars,"12,351",Paperback,280.0,https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_g_15417300031_d_sccl_12/000-0000000-0000000?psc=1,https://www.amazon.in/Rao-NDVPrasada/e/B00JQ0LJIC/ref=zg_bs_g_15417300031_d_sccl_12_bl/000-0000000-0000000
Mandala Art: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,"6,049",Paperback,169.0,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_g_15417300031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B08N67G4CC/ref=zg_bs_g_15417300031_d_sccl_13_bl/000-0000000-0000000
