Book Name,Author Name,Rating,Total Ratings,Book Type,Price,Book Link,Author Link
Relaxing Mandala Coloring Book For Adults,Wonder House Books,4.4 out of 5 stars,351,Paperback,109.0,https://www.amazon.in/Relaxing-Mandala-Coloring-Book-Adults/dp/9354404863/ref=zg_bs_g_1318295031_d_sccl_1/000-0000000-0000000?psc=1,NA
"Children's First Mythology Stories - Pack of 5 books (Ram, Shiva, Hanuman, Ganesha, Vishnu) (Classic Tales from India)",Wonder House Books,4.4 out of 5 stars,362,Paperback,129.0,https://www.amazon.in/Childrens-First-Mythology-Stories-Hanuman/dp/9354404286/ref=zg_bs_g_1318295031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_1318295031_d_sccl_2_bl/000-0000000-0000000
"India & World Map ( Both Political & Physical ) with Constitution of India Chart, History of India Chart & Geography Terms Ch",Vidya Chitr Prakashan,4.4 out of 5 stars,"2,626",Product Bundle,130.0,https://www.amazon.in/Political-Physical-Constitution-History-Geography/dp/B09G6B297L/ref=zg_bs_g_1318295031_d_sccl_3/000-0000000-0000000?psc=1,NA
Masala Lab,Ashok Krish,4.5 out of 5 stars,"2,518",Paperback,259.0,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_g_1318295031_d_sccl_4/000-0000000-0000000?psc=1,NA
Days at the Morisaki Bookshop : A charming and uplifting Japanese translated story on the healing power of books,Satoshi Yagisawa,4.2 out of 5 stars,"2,021",Paperback,275.0,https://www.amazon.in/Days-Morisaki-Bookshop-International-Bestseller/dp/1786583232/ref=zg_bs_g_1318295031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Satoshi-Yagisawa/e/B00IJ7H8XI/ref=zg_bs_g_1318295031_d_sccl_5_bl/000-0000000-0000000
You are the Best Friend: A True story of falling in Love & finding inner Peace | An inspiring story by the author of You are ,Ajay K Pandey,4.5 out of 5 stars,"3,280",Paperback,159.0,https://www.amazon.in/You-are-Best-Friend-Author/dp/9390441161/ref=zg_bs_g_1318295031_d_sccl_6/000-0000000-0000000?psc=1,https://www.amazon.in/Ajay-K-Pandey/e/B01KV8QMUM/ref=zg_bs_g_1318295031_d_sccl_6_bl/000-0000000-0000000
Flowers Coloring Book for adults,Wonder House Books,4.3 out of 5 stars,140,Paperback,99.0,https://www.amazon.in/Flowers-Coloring-adults-Wonder-House/dp/9354404545/ref=zg_bs_g_1318295031_d_sccl_7/000-0000000-0000000?psc=1,NA
India and World Political Map - LAMINATED | Size - 70×100cm | India Map | World Map,Hivex Publication,4.5 out of 5 stars,511,Product Bundle,249.0,https://www.amazon.in/India-World-Political-Map-LAMINATED/dp/B08WCNLHQP/ref=zg_bs_g_1318295031_d_sccl_8/000-0000000-0000000?psc=1,NA
"Bahut Door, Kitna Door Hota Hai । बहुत दूर, कितना दूर होता है",Manav Kaul,4.5 out of 5 stars,832,Paperback,130.0,https://www.amazon.in/Bahut-Door-Kitna-Hota-%E0%A4%95%E0%A4%BF%E0%A4%A4%E0%A4%A8%E0%A4%BE/dp/9387464806/ref=zg_bs_g_1318295031_d_sccl_9/000-0000000-0000000?psc=1,https://www.amazon.in/Manav-Kaul/e/B0789BY7WP/ref=zg_bs_g_1318295031_d_sccl_9_bl/000-0000000-0000000
"World & India Map (Both Political & Physical) with Constitution of India, Indian History, Indian Economy & Geographical Terms",Vidya Chitr Prakashan,4.8 out of 5 stars,7,Map,150.0,https://www.amazon.in/Political-Physical-Constitution-History-Geographical/dp/B0CPBJYWC8/ref=zg_bs_g_1318295031_d_sccl_10/000-0000000-0000000?psc=1,NA
Normal People,Sally Rooney,4.1 out of 5 stars,"117,450",Paperback,344.0,https://www.amazon.in/Normal-People-Sally-Rooney/dp/0571334652/ref=zg_bs_g_1318295031_d_sccl_11/000-0000000-0000000?psc=1,https://www.amazon.in/Sally-Rooney/e/B0728MX7PS/ref=zg_bs_g_1318295031_d_sccl_11_bl/000-0000000-0000000
World Political Map : Map For Students (30 Inches X 20 Inches),Wonder House Books,4.3 out of 5 stars,145,Poster,129.0,https://www.amazon.in/World-Political-Map-Students-Inches/dp/9354400655/ref=zg_bs_g_1318295031_d_sccl_12/000-0000000-0000000?psc=1,NA
14 Historic Walks of Delhi,Swapna Liddle,5.0 out of 5 stars,3,Paperback,317.0,https://www.amazon.in/Historic-Walks-Delhi-Swapna-Liddle/dp/9354476430/ref=zg_bs_g_1318295031_d_sccl_13/000-0000000-0000000?psc=1,https://www.amazon.in/Swapna-Liddle/e/B007CBCLTS/ref=zg_bs_g_1318295031_d_sccl_13_bl/000-0000000-0000000
Banaras : City Of Light,Diana L. Eck,4.6 out of 5 stars,305,Paperback,340.0,https://www.amazon.in/Banaras-City-Light-Diana-Eck/dp/0140190791/ref=zg_bs_g_1318295031_d_sccl_14/000-0000000-0000000?psc=1,https://www.amazon.in/Diana-L-Eck/e/B001IZ1ADC/ref=zg_bs_g_1318295031_d_sccl_14_bl/000-0000000-0000000
"Complete set of UPSC Maps & Charts | set of 11 | India & World Map ( Both Political & Physical ) with Constitution of India, ",Hivex Publication,4.9 out of 5 stars,14,Product Bundle,320.0,https://www.amazon.in/Political-Constitution-Constitutional-Amendments-Geographical/dp/B0CPW8FNHC/ref=zg_bs_g_1318295031_d_sccl_15/000-0000000-0000000?psc=1,NA
Tumhare Baare Mein - Hindi,Manav Kaul,4.4 out of 5 stars,831,Paperback,109.0,https://www.amazon.in/Tumhare-Baare-Mein-Manav-Kaul/dp/938746430X/ref=zg_bs_g_1318295031_d_sccl_16/000-0000000-0000000?psc=1,https://www.amazon.in/Manav-Kaul/e/B0789BY7WP/ref=zg_bs_g_1318295031_d_sccl_16_bl/000-0000000-0000000
NEVER FORGET,Michel Bussi,4.1 out of 5 stars,448,Paperback,65.9,https://www.amazon.in/Never-Forget-Michel-Bussi/dp/1474601847/ref=zg_bs_g_1318295031_d_sccl_17/000-0000000-0000000?psc=1,https://www.amazon.in/Michel-Bussi/e/B004MUB972/ref=zg_bs_g_1318295031_d_sccl_17_bl/000-0000000-0000000
A Girl to Remember,Ajay K Pandey,4.4 out of 5 stars,"3,854",Paperback,150.0,https://www.amazon.in/Girl-Remember-Ajay-K-Pandey/dp/9387022390/ref=zg_bs_g_1318295031_d_sccl_18/000-0000000-0000000?psc=1,https://www.amazon.in/Ajay-K-Pandey/e/B01KV8QMUM/ref=zg_bs_g_1318295031_d_sccl_18_bl/000-0000000-0000000
What I Talk About When I Talk About Running,Haruki Murakami,4.4 out of 5 stars,"7,804",Paperback,339.0,https://www.amazon.in/What-Talk-About-When-Running/dp/0099526158/ref=zg_bs_g_1318295031_d_sccl_19/000-0000000-0000000?psc=1,https://www.amazon.in/Haruki-Murakami/e/B000AP7AFI/ref=zg_bs_g_1318295031_d_sccl_19_bl/000-0000000-0000000
Birds of India - A Pictorial Field Guide,Bikram Grewal,4.7 out of 5 stars,882,Paperback,"1,168.0",https://www.amazon.in/Birds-India-Bikram-Grewal/dp/9380070225/ref=zg_bs_g_1318295031_d_sccl_20/000-0000000-0000000?psc=1,NA
"Everybody Loves a Good Drought: Stories from India’s Poorest Districts (20th Anniversary Edition) [Paperback] Sainath, P.",Sainath P.,4.6 out of 5 stars,773,Paperback,324.0,https://www.amazon.in/Everybody-Loves-Good-Drought-Sainath/dp/0140259848/ref=zg_bs_g_1318295031_d_sccl_21/000-0000000-0000000?psc=1,NA
Rooh । रूह (PB),Manav Kaul,4.6 out of 5 stars,176,Paperback,150.0,https://www.amazon.in/Rooh-%E0%A5%A4-%E0%A4%B0%E0%A5%82%E0%A4%B9-Manav-Kaul/dp/9392820488/ref=zg_bs_g_1318295031_d_sccl_22/000-0000000-0000000?psc=1,https://www.amazon.in/Manav-Kaul/e/B0789BY7WP/ref=zg_bs_g_1318295031_d_sccl_22_bl/000-0000000-0000000
Lonely Planet India 19 (Travel Guide),Anirban Mahapatra,4.4 out of 5 stars,191,Paperback,"1,884.0",https://www.amazon.in/Lonely-Planet-India-Travel-Guide/dp/1788683870/ref=zg_bs_g_1318295031_d_sccl_23/000-0000000-0000000?psc=1,NA
Zen: The Art of Simple Living,Shunmyo Masuno,4.6 out of 5 stars,"3,049",Hardcover,425.0,https://www.amazon.in/Zen-Simple-Living-Shunmyo-Masuno/dp/024137183X/ref=zg_bs_g_1318295031_d_sccl_24/000-0000000-0000000?psc=1,https://www.amazon.in/Shunmyo-Masuno/e/B004LRH69Q/ref=zg_bs_g_1318295031_d_sccl_24_bl/000-0000000-0000000
"Search In Secret India, A: The classic work on seeking a guru",Paul Brunton,4.6 out of 5 stars,972,Paperback,419.0,https://www.amazon.in/Search-Secret-India-Paul-Brunton/dp/1844130436/ref=zg_bs_g_1318295031_d_sccl_25/000-0000000-0000000?psc=1,https://www.amazon.in/Paul-Brunton/e/B001HPZQ3I/ref=zg_bs_g_1318295031_d_sccl_25_bl/000-0000000-0000000
Robinson Crusoe,Daniel Defoe,4.4 out of 5 stars,"5,264",Paperback,139.0,https://www.amazon.in/Robinson-Crusoe-Daniel-Defoe/dp/8175994673/ref=zg_bs_g_1318295031_d_sccl_26/000-0000000-0000000?psc=1,https://www.amazon.in/Daniel-Defoe/e/B00KQ4MWFQ/ref=zg_bs_g_1318295031_d_sccl_26_bl/000-0000000-0000000
"The Comfort Crisis: Embrace Discomfort T: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self",Michael Easter,4.7 out of 5 stars,"5,377",Hardcover,633.0,https://www.amazon.in/Comfort-Crisis-Embrace-Discomfort-Reclaim/dp/0593138767/ref=zg_bs_g_1318295031_d_sccl_27/000-0000000-0000000?psc=1,https://www.amazon.in/Michael-Easter/e/B08HPKFFHX/ref=zg_bs_g_1318295031_d_sccl_27_bl/000-0000000-0000000
Forgotten Foods: Memories and Recipes from Muslim South Asia,Tarana Husain Khan,4.4 out of 5 stars,10,Paperback,320.0,https://www.amazon.in/Forgotten-Foods-Memories-Recipes-Muslim/dp/9395624353/ref=zg_bs_g_1318295031_d_sccl_28/000-0000000-0000000?psc=1,https://www.amazon.in/Tarana-Husain-Khan/e/B0BHTNKG5D/ref=zg_bs_g_1318295031_d_sccl_28_bl/000-0000000-0000000
"Indians: A Brief History of a Civilization by Namit Arora: Must Read on Indian Civilisation, Glimpse of History of Indian Cul",Namit Arora,4.3 out of 5 stars,403,Hardcover,538.8,https://www.amazon.in/Indians-History-Civilization-Namit-Arora/dp/0670090433/ref=zg_bs_g_1318295031_d_sccl_29/000-0000000-0000000?psc=1,https://www.amazon.in/Namit-Arora/e/B074H4TCNX/ref=zg_bs_g_1318295031_d_sccl_29_bl/000-0000000-0000000
In Siberia,Colin Thubron,4.4 out of 5 stars,296,Paperback,355.0,https://www.amazon.in/Siberia-Colin-Thubron/dp/0099459264/ref=zg_bs_g_1318295031_d_sccl_30/000-0000000-0000000?psc=1,https://www.amazon.in/Colin-Thubron/e/B000AP88L8/ref=zg_bs_g_1318295031_d_sccl_30_bl/000-0000000-0000000
CURLY TALES: from Here & There,Dr Geetha Kariappa,NA,NA,Kindle Edition,49.0,https://www.amazon.in/CURLY-TALES-Dr-Geetha-Kariappa-ebook/dp/B0CW2TFH5B/ref=zg_bs_g_1318295031_d_sccl_1/000-0000000-0000000?psc=1,https://www.amazon.in/Dr-Geetha-Kariappa/e/B09RGM9JZG/ref=zg_bs_g_1318295031_d_sccl_1_bl/000-0000000-0000000
"Lost River, The: On The Trail (PB): On The Trail Of The Sarasvati",Michel Danino,4.6 out of 5 stars,929,Hardcover,292.0,https://www.amazon.in/Lost-River-Michel-Danino/dp/0143068644/ref=zg_bs_g_1318295031_d_sccl_2/000-0000000-0000000?psc=1,https://www.amazon.in/Michel-Danino/e/B001ICOR9E/ref=zg_bs_g_1318295031_d_sccl_2_bl/000-0000000-0000000
SATTVIK COOKING: MODERN AVATARS OF VEDIC FOODS,Hansaji J. Yogendra,4.4 out of 5 stars,274,Kindle Edition,302.7,https://www.amazon.in/SATTVIK-COOKING-MODERN-AVATARS-VEDIC-ebook/dp/B09D7BMNT7/ref=zg_bs_g_1318295031_d_sccl_3/000-0000000-0000000?psc=1,https://www.amazon.in/Hansaji-J-Yogendra/e/B081217ZM6/ref=zg_bs_g_1318295031_d_sccl_3_bl/000-0000000-0000000
"The Comfort Crisis: Embrace Discomfort to Reclaim Your Wild, Happy, Healthy Self",Michael Easter,4.7 out of 5 stars,"5,377",Audible Audiobook,"1,005.0",https://www.amazon.in/Comfort-Crisis-Embrace-Discomfort-Reclaim/dp/B08LDXDDJK/ref=zg_bs_g_1318295031_d_sccl_4/000-0000000-0000000?psc=1,NA
"Children's First Mythology Stories - Pack of 5 books (Devi, Durga, Arjuna, Mahabharta, Krishna) (Indian Mythology for Childre",Wonder House Books,4.4 out of 5 stars,362,Paperback,149.0,https://www.amazon.in/Childrens-First-Mythology-Stories-Mahabharta/dp/9354404367/ref=zg_bs_g_1318295031_d_sccl_5/000-0000000-0000000?psc=1,https://www.amazon.in/Wonder-House-Books/e/B085LS5SLK/ref=zg_bs_g_1318295031_d_sccl_5_bl/000-0000000-0000000
